uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"5f4d7186-86f2-424a-8448-990a007e9767","F6A93AD3DBA14EC8911DFC6AB04590D3","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","F4","distributed","grasslandHerbaceous",33.412252,-97.662234,"WGS84",45.1,302.3,0.1,"6 - trap set and empty","ShermanLF","2016-08-02","2016-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mbray@field-ops.org","cwhiting@field-ops.org",,,
"2ffe3f4b-c333-48d0-b0a4-d90367570f02","B1DDCFA90884456D818BC740B49C0EF8","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","B8","distributed","deciduousForest",33.371728,-97.596108,"WGS84",45.1,304.0,0.1,"5 - capture","ShermanXLK","2016-08-02","2016-08-02","NEON.MAM.D11.R2155",,"PELE","Peromyscus leucopus","species","cf. species","NEON.DOC.003137",,,"N","M","Y","released",,"adult","nonscrotal",,,,21,17,95,185,23,"N","N","N",,,,"CLBJ.20160802.R2155.B",,"mandibular","CLBJ.20160802.R2155.F",,"fresh",,,"CLBJ.20160802.R2155.H",,"hairAndWhisker",,,"aholdorf@neoninc.org","jthomas@field-ops.org",,,
"3dc60c70-2889-4ca2-aef3-adbe0495bfcb","7612D03AAD32407492413C483E649B27","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","J9","distributed","deciduousForest",33.379549,-97.620436,"WGS84",45.1,312.2,0.1,"6 - trap set and empty","ShermanLF","2016-08-02","2016-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aholdorf@neoninc.org","jthomas@field-ops.org",,,
"5c4432ed-1781-4f2c-8709-dbc4970590ee","072AF5126E7849B7B1C641CF1FE847AD","CLBJ_040.mammalGrid.mam","D11","CLBJ","CLBJ_040","C3","distributed","deciduousForest",33.378889,-97.648280,"WGS84",45.1,324.5,0.1,"6 - trap set and empty","ShermanLF","2016-08-02","2016-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mbray@field-ops.org","cwhiting@field-ops.org",,,
"920067e7-d625-4775-8117-629a9a52b38a","B1DDCFA90884456D818BC740B49C0EF8","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","B2","distributed","deciduousForest",33.371728,-97.596108,"WGS84",45.1,304.0,0.1,"6 - trap set and empty","ShermanLF","2016-08-02","2016-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aholdorf@neoninc.org","jthomas@field-ops.org",,,
"1a0af777-b4c1-40b7-bd64-95661250948a","072AF5126E7849B7B1C641CF1FE847AD","CLBJ_040.mammalGrid.mam","D11","CLBJ","CLBJ_040","A7","distributed","deciduousForest",33.378889,-97.648280,"WGS84",45.1,324.5,0.1,"6 - trap set and empty","ShermanLF","2016-08-02","2016-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mbray@field-ops.org","cwhiting@field-ops.org",,,
"cf38e30b-f444-40b8-86b6-99a86c77ea01","072AF5126E7849B7B1C641CF1FE847AD","CLBJ_040.mammalGrid.mam","D11","CLBJ","CLBJ_040","F9","distributed","deciduousForest",33.378889,-97.648280,"WGS84",45.1,324.5,0.1,"6 - trap set and empty","ShermanLF","2016-08-02","2016-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mbray@field-ops.org","cwhiting@field-ops.org",,,
"0b5ab060-cc92-421a-ac24-a0f40f4df797","7612D03AAD32407492413C483E649B27","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","F9","distributed","deciduousForest",33.379549,-97.620436,"WGS84",45.1,312.2,0.1,"6 - trap set and empty","ShermanLF","2016-08-02","2016-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aholdorf@neoninc.org","jthomas@field-ops.org",,,
"578ed8bd-2663-4537-b346-9f21ea71e882","072AF5126E7849B7B1C641CF1FE847AD","CLBJ_040.mammalGrid.mam","D11","CLBJ","CLBJ_040","G9","distributed","deciduousForest",33.378889,-97.648280,"WGS84",45.1,324.5,0.1,"6 - trap set and empty","ShermanLF","2016-08-02","2016-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mbray@field-ops.org","cwhiting@field-ops.org",,,
"8185da0c-19cc-4f83-9b65-97f9deb58a19","F6A93AD3DBA14EC8911DFC6AB04590D3","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","I2","distributed","grasslandHerbaceous",33.412252,-97.662234,"WGS84",45.1,302.3,0.1,"6 - trap set and empty","ShermanLF","2016-08-02","2016-08-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mbray@field-ops.org","cwhiting@field-ops.org",,,
