uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"ca80cde7-db6d-4792-acd3-6b57b7636899","4181509c-810c-4f71-b44e-101edb852b9a","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","B8","distributed","grasslandHerbaceous",40.867580,-104.703635,"WGS84",45.1,1647.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"aae42655-301f-4b8f-af90-ce2a384d1700","665dc3d6-d79a-4f80-8d46-93630dc49d05","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","F6","distributed","grasslandHerbaceous",40.853174,-104.743010,"WGS84",45.1,1662.3,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lguanes@battelleecology.org","Sdixon@battelleecology.org",,,
"bcdc838e-8e8b-43cd-acac-95a4ba836069","ed68602e-bc08-4219-a4ad-c67d4860e9b5","CPER_004.mammalGrid.mam","D10","CPER","CPER_004","H5","distributed","grasslandHerbaceous",40.813091,-104.698536,"WGS84",45.1,1622.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"4f752392-5fc2-4eff-80e1-4cb0276b351e","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","J6","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"bdf565ac-184a-4220-a497-6cfe612790f4","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","B4","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"92c12894-2996-48cd-8d8a-edc8aa8aaf89","4181509c-810c-4f71-b44e-101edb852b9a","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","G10","distributed","grasslandHerbaceous",40.867580,-104.703635,"WGS84",45.1,1647.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"e52589f3-b045-44d1-b9ee-ef80c57b273d","665dc3d6-d79a-4f80-8d46-93630dc49d05","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","I3","distributed","grasslandHerbaceous",40.853174,-104.743010,"WGS84",45.1,1662.3,0.1,"5 - capture","ShermanXLK","2018-05-08","2018-05-08","NEON.MAM.D10.R3343",,"REMO","Reithrodontomys montanus","species","cf. species",,,,"N","M","N","released",,"adult","nonscrotal",,,,16,,,,12,"N","N","N",,,,,,,,,,,,,,,,,"lguanes@battelleecology.org","Sdixon@battelleecology.org",,,
"0cb913be-b0d4-406d-a1f3-2d818284bbb0","4181509c-810c-4f71-b44e-101edb852b9a","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","A9","distributed","grasslandHerbaceous",40.867580,-104.703635,"WGS84",45.1,1647.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"f089c808-13df-4b0f-b2de-1a4dd8f57c67","ed68602e-bc08-4219-a4ad-c67d4860e9b5","CPER_004.mammalGrid.mam","D10","CPER","CPER_004","C7","distributed","grasslandHerbaceous",40.813091,-104.698536,"WGS84",45.1,1622.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"93fba165-f0fc-40cd-a1ee-58484f69c257","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","C9","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"2 - trap disturbed/door closed but empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"8296ed63-2308-44e6-9044-53e87a42b321","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","H1","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"9d7200b2-9c6a-4833-b3e3-790acac9fb15","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","G1","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"188e4056-f960-4b54-b14f-16441f81116d","ed68602e-bc08-4219-a4ad-c67d4860e9b5","CPER_004.mammalGrid.mam","D10","CPER","CPER_004","I8","distributed","grasslandHerbaceous",40.813091,-104.698536,"WGS84",45.1,1622.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"45c7bc93-7ad6-424b-9d4e-ae9ec57644a6","665dc3d6-d79a-4f80-8d46-93630dc49d05","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","A10","distributed","grasslandHerbaceous",40.853174,-104.743010,"WGS84",45.1,1662.3,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lguanes@battelleecology.org","Sdixon@battelleecology.org",,,
"cf53e30a-a6d9-4b2f-a5fb-0ffa4e5f78d0","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","G10","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"2 - trap disturbed/door closed but empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"67518719-90a2-48da-b30c-a03c4bd98a4a","4181509c-810c-4f71-b44e-101edb852b9a","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","A8","distributed","grasslandHerbaceous",40.867580,-104.703635,"WGS84",45.1,1647.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"7e4f8dcb-ac61-4b61-80ac-d6fad7206210","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","H3","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"cfe15e77-ca59-4af2-aaf4-ea1e5ad06432","ed68602e-bc08-4219-a4ad-c67d4860e9b5","CPER_004.mammalGrid.mam","D10","CPER","CPER_004","G2","distributed","grasslandHerbaceous",40.813091,-104.698536,"WGS84",45.1,1622.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"aea6b2d8-2bf4-4198-838a-8a7593360d47","ed68602e-bc08-4219-a4ad-c67d4860e9b5","CPER_004.mammalGrid.mam","D10","CPER","CPER_004","F9","distributed","grasslandHerbaceous",40.813091,-104.698536,"WGS84",45.1,1622.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"969f3cf7-c807-40d5-aa8a-b71700c4a2f2","4181509c-810c-4f71-b44e-101edb852b9a","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","C4","distributed","grasslandHerbaceous",40.867580,-104.703635,"WGS84",45.1,1647.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"a9ce9d3b-276b-4239-9f80-f3a595c12556","665dc3d6-d79a-4f80-8d46-93630dc49d05","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","A7","distributed","grasslandHerbaceous",40.853174,-104.743010,"WGS84",45.1,1662.3,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lguanes@battelleecology.org","Sdixon@battelleecology.org",,,
"d403d7a8-c011-42fe-971b-6455dce1661d","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","I5","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"7fa42dbb-9e5f-4bad-a8a4-5e30cb70524a","665dc3d6-d79a-4f80-8d46-93630dc49d05","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","J10","distributed","grasslandHerbaceous",40.853174,-104.743010,"WGS84",45.1,1662.3,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lguanes@battelleecology.org","Sdixon@battelleecology.org",,,
"d1290bc1-1920-4aca-a28e-8a85f1d650c8","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","J10","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"efb85734-5da7-4699-8e67-02e8557b86fc","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","E5","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"ff611297-4156-46da-b9b4-1e88ef737cea","4181509c-810c-4f71-b44e-101edb852b9a","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","B9","distributed","grasslandHerbaceous",40.867580,-104.703635,"WGS84",45.1,1647.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"4f6d3a52-d046-4eae-9243-2488e20b2d62","665dc3d6-d79a-4f80-8d46-93630dc49d05","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","I4","distributed","grasslandHerbaceous",40.853174,-104.743010,"WGS84",45.1,1662.3,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lguanes@battelleecology.org","Sdixon@battelleecology.org",,,
"0ae619fe-c861-48a6-876a-815b9451e4e8","ed68602e-bc08-4219-a4ad-c67d4860e9b5","CPER_004.mammalGrid.mam","D10","CPER","CPER_004","A2","distributed","grasslandHerbaceous",40.813091,-104.698536,"WGS84",45.1,1622.1,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
"c4d2b240-f3aa-4827-bbca-30661ea3b8d6","665dc3d6-d79a-4f80-8d46-93630dc49d05","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","A1","distributed","grasslandHerbaceous",40.853174,-104.743010,"WGS84",45.1,1662.3,0.1,"6 - trap set and empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lguanes@battelleecology.org","Sdixon@battelleecology.org",,,
"3bd6c7c8-2491-4b4d-ada4-67d9b248ee72","382661b9-2a35-44f6-b87f-e43ed2e239de","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","E4","distributed","grasslandHerbaceous",40.854109,-104.726916,"WGS84",45.1,1664.7,0.1,"2 - trap disturbed/door closed but empty","ShermanXLK","2018-05-08","2018-05-08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","lguanes@battelleecology.org",,,
