uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"d3d64b6f-691f-445a-b336-e8103adfb5cb","6ab9f361-99f8-48c0-b528-e67f92d1d229","DEJU_017.mammalGrid.mam","D19","DEJU","DEJU_017","H3","distributed","evergreenForest",63.882021,-145.781394,"WGS84",45.1,518.4,0.1,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
"e83d140d-2590-4ad9-9cc6-e67e990b6dc2","e43371cb-0800-4113-a629-2c6c8b52c3b5","DEJU_001.mammalGrid.mam","D19","DEJU","DEJU_001","G4","distributed","shrubScrub",63.891171,-145.768626,"WGS84",45.1,497.0,0.1,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
"58931f83-c020-4f22-afa4-ebdbe8f31de6","6ab9f361-99f8-48c0-b528-e67f92d1d229","DEJU_017.mammalGrid.mam","D19","DEJU","DEJU_017","G6","distributed","evergreenForest",63.882021,-145.781394,"WGS84",45.1,518.4,0.1,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
"7bb4aa43-0102-4c60-8658-2eb90ccbe99f","340691b9-72dd-43ae-8b5d-c38624f4bf04","DEJU_003.mammalGrid.mam","D19","DEJU","DEJU_003","C5","distributed","shrubScrub",63.929416,-145.752073,"WGS84",46.1,451.7,0.9,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
"3003f7ff-ab80-45eb-b575-f5120508fcd4","340691b9-72dd-43ae-8b5d-c38624f4bf04","DEJU_003.mammalGrid.mam","D19","DEJU","DEJU_003","H10","distributed","shrubScrub",63.929416,-145.752073,"WGS84",46.1,451.7,0.9,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
"a85c4b26-3f4b-4d9d-93c3-b6e108da3712","3658d0db-a84d-4d41-98bb-27a42c9006a6","DEJU_005.mammalGrid.mam","D19","DEJU","DEJU_005","E3","distributed","shrubScrub",63.899671,-145.758321,"WGS84",46.0,480.4,0.8,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
"b9520e56-3d93-48aa-9a79-85d549de6a31","3658d0db-a84d-4d41-98bb-27a42c9006a6","DEJU_005.mammalGrid.mam","D19","DEJU","DEJU_005","F6","distributed","shrubScrub",63.899671,-145.758321,"WGS84",46.0,480.4,0.8,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
"4732c133-f733-489e-8f6f-7812cf3c2d5a","e43371cb-0800-4113-a629-2c6c8b52c3b5","DEJU_001.mammalGrid.mam","D19","DEJU","DEJU_001","G5","distributed","shrubScrub",63.891171,-145.768626,"WGS84",45.1,497.0,0.1,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
"71c11483-69a8-454b-b184-c933eed84c70","340691b9-72dd-43ae-8b5d-c38624f4bf04","DEJU_003.mammalGrid.mam","D19","DEJU","DEJU_003","I2","distributed","shrubScrub",63.929416,-145.752073,"WGS84",46.1,451.7,0.9,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
"2c6d8ae4-e803-47a1-9b44-f34dfa66f657","6ab9f361-99f8-48c0-b528-e67f92d1d229","DEJU_017.mammalGrid.mam","D19","DEJU","DEJU_017","F3","distributed","evergreenForest",63.882021,-145.781394,"WGS84",45.1,518.4,0.1,"6 - trap set and empty","ShermanLF","2017-05-23","2017-05-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"frosenbower@battelleecology.org","jjohnson@battelleecology.org",,,
