uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"42b1e54a-beea-4d9b-942c-2b17377f4f66","57019097-ca83-476c-ba73-bfbe8c0e6a48","DSNY_005.mammalGrid.mam","D03","DSNY","DSNY_005","D2","distributed","woodyWetlands",28.039127,-81.391902,"WGS84",45.1,19.7,0.1,"6 - trap set and empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ahugi@battelleecology.org","shall@battelleecology.org",,,
"1e9d8848-8121-438d-a55d-ea4211c68c2f","cb09976b-1286-4e58-bc8c-2f2bf3dd911e","DSNY_016.mammalGrid.mam","D03","DSNY","DSNY_016","A8","distributed","pastureHay",28.045236,-81.393101,"WGS84",45.1,19.9,0.1,"6 - trap set and empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ahugi@battelleecology.org","shall@battelleecology.org",,,
"0c4f94e4-39d3-477e-a2af-393d22878b6d","578706c3-f682-450d-990f-8b651272c375","DSNY_001.mammalGrid.mam","D03","DSNY","DSNY_001","E8","distributed","woodyWetlands",28.097204,-81.417175,"WGS84",45.1,21.1,0.1,"6 - trap set and empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a861b119-b538-4d02-a8ef-73a97cecff07","cb09976b-1286-4e58-bc8c-2f2bf3dd911e","DSNY_016.mammalGrid.mam","D03","DSNY","DSNY_016","I9","distributed","pastureHay",28.045236,-81.393101,"WGS84",45.1,19.9,0.1,"6 - trap set and empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ahugi@battelleecology.org","shall@battelleecology.org",,,
"761f12bd-0867-4b91-9d97-70f888da257e","1110e835-4953-425d-84e8-f838033b3f15","DSNY_004.mammalGrid.mam","D03","DSNY","DSNY_004","H10","distributed","woodyWetlands",28.099481,-81.401475,"WGS84",45.1,20.8,0.1,"6 - trap set and empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kross@BattelleEcology.org","mbenedict@battelleecology.org",,,
"23efb7e5-eabf-4fa8-8c0b-d7ec4bd90280","578706c3-f682-450d-990f-8b651272c375","DSNY_001.mammalGrid.mam","D03","DSNY","DSNY_001","F5","distributed","woodyWetlands",28.097204,-81.417175,"WGS84",45.1,21.1,0.1,"6 - trap set and empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"126b1d6e-3da2-4373-b493-bc55567e03d8","cb09976b-1286-4e58-bc8c-2f2bf3dd911e","DSNY_016.mammalGrid.mam","D03","DSNY","DSNY_016","A4","distributed","pastureHay",28.045236,-81.393101,"WGS84",45.1,19.9,0.1,"2 - trap disturbed/door closed but empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ahugi@battelleecology.org","shall@battelleecology.org",,,
"852d6a61-3e30-4434-b04e-d18e8732bffe","cb09976b-1286-4e58-bc8c-2f2bf3dd911e","DSNY_016.mammalGrid.mam","D03","DSNY","DSNY_016","B5","distributed","pastureHay",28.045236,-81.393101,"WGS84",45.1,19.9,0.1,"6 - trap set and empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ahugi@battelleecology.org","shall@battelleecology.org",,,
"1b2f72c5-ddee-4eeb-aa68-605c3450feaf","1110e835-4953-425d-84e8-f838033b3f15","DSNY_004.mammalGrid.mam","D03","DSNY","DSNY_004","E10","distributed","woodyWetlands",28.099481,-81.401475,"WGS84",45.1,20.8,0.1,"6 - trap set and empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kross@BattelleEcology.org","mbenedict@battelleecology.org",,,
"4aab0461-7e24-46d9-8f63-daa0da6b62d0","578706c3-f682-450d-990f-8b651272c375","DSNY_001.mammalGrid.mam","D03","DSNY","DSNY_001","D1","distributed","woodyWetlands",28.097204,-81.417175,"WGS84",45.1,21.1,0.1,"6 - trap set and empty","ShermanLF","2017-09-26","2017-09-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
