uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"fc86040b-d213-4204-8fd8-189f19e8fd9a","44d74246-54c8-47e6-8564-c3d6093d7882","GUAN_025.mammalGrid.mam","D04","GUAN","GUAN_025","F3","distributed","evergreenForest",17.976569,-66.872957,"WGS84",45.2,145.2,0.2,"6 - trap set and empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"amegill@field-ops.org","tvelazquez@field-ops.org",,,
"51cf81fb-7d56-40fe-8ccd-d0622e159f5e","77cc273a-1b71-4c2a-b963-6546e84fa344","GUAN_003.mammalGrid.mam","D04","GUAN","GUAN_003","F6","distributed","evergreenForest",17.972847,-66.862740,"WGS84",45.2,169.2,0.2,"6 - trap set and empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kruizmedina@field-ops.org","gtavarez@field-ops.org",,,
"5465e3dc-aed6-4b7b-9666-13de602a1369","6f38fe9a-5a95-4ddc-8821-ee99d8a9d59b","GUAN_007.mammalGrid.mam","D04","GUAN","GUAN_007","F9","distributed","evergreenForest",17.973626,-66.858870,"WGS84",45.2,181.5,0.2,"2 - trap disturbed/door closed but empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","tvelazquez@field-ops.org","Ants inside open trap",,
"c07bb87f-f741-4ac2-9804-3b5944fb9279","6f38fe9a-5a95-4ddc-8821-ee99d8a9d59b","GUAN_007.mammalGrid.mam","D04","GUAN","GUAN_007","A5","distributed","evergreenForest",17.973626,-66.858870,"WGS84",45.2,181.5,0.2,"6 - trap set and empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","tvelazquez@field-ops.org",,,
"7bfce70d-7989-4c48-99a1-74fee77848b6","6f38fe9a-5a95-4ddc-8821-ee99d8a9d59b","GUAN_007.mammalGrid.mam","D04","GUAN","GUAN_007","B3","distributed","evergreenForest",17.973626,-66.858870,"WGS84",45.2,181.5,0.2,"6 - trap set and empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","tvelazquez@field-ops.org",,,
"4ad625e1-dc5e-4e4f-abe8-045c7654d89a","6f38fe9a-5a95-4ddc-8821-ee99d8a9d59b","GUAN_007.mammalGrid.mam","D04","GUAN","GUAN_007","I4","distributed","evergreenForest",17.973626,-66.858870,"WGS84",45.2,181.5,0.2,"6 - trap set and empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","tvelazquez@field-ops.org",,,
"69354258-dfb9-4e93-ac86-123e00fd548f","6f38fe9a-5a95-4ddc-8821-ee99d8a9d59b","GUAN_007.mammalGrid.mam","D04","GUAN","GUAN_007","H8","distributed","evergreenForest",17.973626,-66.858870,"WGS84",45.2,181.5,0.2,"6 - trap set and empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","tvelazquez@field-ops.org",,,
"86c1f067-e439-4b96-8c8d-d757e42099dc","77cc273a-1b71-4c2a-b963-6546e84fa344","GUAN_003.mammalGrid.mam","D04","GUAN","GUAN_003","D6","distributed","evergreenForest",17.972847,-66.862740,"WGS84",45.2,169.2,0.2,"6 - trap set and empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kruizmedina@field-ops.org","gtavarez@field-ops.org",,,
"0056370a-dcad-4637-b101-58eb8120a884","44d74246-54c8-47e6-8564-c3d6093d7882","GUAN_025.mammalGrid.mam","D04","GUAN","GUAN_025","G4","distributed","evergreenForest",17.976569,-66.872957,"WGS84",45.2,145.2,0.2,"6 - trap set and empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"amegill@field-ops.org","tvelazquez@field-ops.org",,,
"4a433417-b213-4dce-bbc4-8c825216bc9e","77cc273a-1b71-4c2a-b963-6546e84fa344","GUAN_003.mammalGrid.mam","D04","GUAN","GUAN_003","E3","distributed","evergreenForest",17.972847,-66.862740,"WGS84",45.2,169.2,0.2,"6 - trap set and empty","ShermanXLF","2017-03-21","2017-03-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kruizmedina@field-ops.org","gtavarez@field-ops.org",,,
