uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"46dca9ce-5330-424b-b923-8d84ce8e8fa7","4CC4A684590649AC93F2A70D3E52FB5A","HARV_032.mammalGrid.mam","D01","HARV","HARV_032","J4","distributed","evergreenForest",42.461612,-72.228594,"WGS84",45.2,240.6,0.2,"3 - trap door open or closed w/ spoor left",,"2014-06-18","2014-06-18",,,,,,,"NEON.DOC.001907vA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgoranson@neoninc.org","jutz@neoninc.org",,,
"78776883-7957-4394-aad3-bea4aec5b383","E82FEDBEA25744CCBF77728CE539B9D0","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","A9","distributed","evergreenForest",42.451460,-72.251800,"WGS84",45.6,176.7,1.0,"6 - trap set and empty","ShermanLF","2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gvanscoy@Field-ops.org","ehardiman@Field-ops.org",,,
"12d03584-d8d3-4a7e-8be2-6f27ac5ff2a2","E82FEDBEA25744CCBF77728CE539B9D0","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","B2","distributed","evergreenForest",42.451460,-72.251800,"WGS84",45.6,176.7,1.0,"5 - capture","ShermanLF","2014-06-18","2014-06-18","NEON.MAM.D01.421261",,"MYGA","Myodes gapperi","species",,,,,"N","M","N",,,"adult","scrotal",,"not",,19,,,,29,,,,,,,"HARV.20140618.421261.B",,"unsuccessful","HARV.20140618.421261.F",,"old","HARV.20140618.421261.E",,,,,,,"gvanscoy@Field-ops.org","ehardiman@Field-ops.org","tick above eye",,
"f6a7a7b0-5038-4dd5-b001-24d44ded4e33","4CC4A684590649AC93F2A70D3E52FB5A","HARV_032.mammalGrid.mam","D01","HARV","HARV_032","G9","distributed","evergreenForest",42.461612,-72.228594,"WGS84",45.2,240.6,0.2,"6 - trap set and empty",,"2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgoranson@neoninc.org","jutz@neoninc.org",,,
"5b77af9f-3edd-46e5-b2b0-6dfdfe7cd8ed","E82FEDBEA25744CCBF77728CE539B9D0","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","G7","distributed","evergreenForest",42.451460,-72.251800,"WGS84",45.6,176.7,1.0,"6 - trap set and empty","ShermanLF","2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gvanscoy@Field-ops.org","ehardiman@Field-ops.org",,,
"82ad7684-da30-4c95-b074-66a6c186f45c","E82FEDBEA25744CCBF77728CE539B9D0","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","D6","distributed","evergreenForest",42.451460,-72.251800,"WGS84",45.6,176.7,1.0,"6 - trap set and empty","ShermanLF","2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gvanscoy@Field-ops.org","ehardiman@Field-ops.org",,,
"58bd5524-5962-4371-a924-e20aa7af4ff7","4CC4A684590649AC93F2A70D3E52FB5A","HARV_032.mammalGrid.mam","D01","HARV","HARV_032","D8","distributed","evergreenForest",42.461612,-72.228594,"WGS84",45.2,240.6,0.2,"6 - trap set and empty",,"2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgoranson@neoninc.org","jutz@neoninc.org",,,
"6e55fc4c-bb77-4ad1-9cab-81fc9e51c3b1","FE35952D53804A04A79FFDE2177DABE0","HARV_014.mammalGrid.mam","D01","HARV","HARV_014","I7","distributed","mixedForest",42.471298,-72.263909,"WGS84",45.1,206.9,0.2,"6 - trap set and empty","ShermanLF","2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgoranson@neoninc.org","jutz@neoninc.org",,,
"d1c0cb65-1570-45d7-8ab5-c9d4aba68671","4CC4A684590649AC93F2A70D3E52FB5A","HARV_032.mammalGrid.mam","D01","HARV","HARV_032","F6","distributed","evergreenForest",42.461612,-72.228594,"WGS84",45.2,240.6,0.2,"6 - trap set and empty",,"2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgoranson@neoninc.org","jutz@neoninc.org",,,
"dc266b07-c430-4ace-8a1e-dc4747506ce7","E82FEDBEA25744CCBF77728CE539B9D0","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","G2","distributed","evergreenForest",42.451460,-72.251800,"WGS84",45.6,176.7,1.0,"6 - trap set and empty","ShermanLF","2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gvanscoy@Field-ops.org","ehardiman@Field-ops.org",,,
"0dbf1dac-3e71-4585-8ee1-2ec370321d5c","FE35952D53804A04A79FFDE2177DABE0","HARV_014.mammalGrid.mam","D01","HARV","HARV_014","H5","distributed","mixedForest",42.471298,-72.263909,"WGS84",45.1,206.9,0.2,"6 - trap set and empty","ShermanLF","2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgoranson@neoninc.org","jutz@neoninc.org",,,
"81184a1e-e8b2-4a41-8e31-4be97a2c2fe4","E82FEDBEA25744CCBF77728CE539B9D0","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","F4","distributed","evergreenForest",42.451460,-72.251800,"WGS84",45.6,176.7,1.0,"2 - trap disturbed/door closed but empty","ShermanLF","2014-06-18","2014-06-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gvanscoy@Field-ops.org","ehardiman@Field-ops.org",,,
