uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"12045b42-45a4-48db-afe4-cde5935f2d47","0FFD9C9C78DA49699832896EBC4C1DFC","HEAL_033.mammalGrid.mam","D19","HEAL","HEAL_033","G6","distributed","shrubScrub",63.875646,-149.257540,"WGS84",45.1,671.3,0.1,"6 - trap set and empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
"2633c0d9-7e5e-4036-8a56-1f87ee2e8839","31155F9E10D6457D91B05938AD652691","HEAL_032.mammalGrid.mam","D19","HEAL","HEAL_032","B1","distributed","shrubScrub",63.882432,-149.268806,"WGS84",45.9,655.2,0.8,"6 - trap set and empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
"daa5a08e-54e6-4ce8-8e73-a8bc43bf0659","31155F9E10D6457D91B05938AD652691","HEAL_032.mammalGrid.mam","D19","HEAL","HEAL_032","F2","distributed","shrubScrub",63.882432,-149.268806,"WGS84",45.9,655.2,0.8,"6 - trap set and empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
"56732d52-ea58-4f7d-90fc-704f18543350","0FFD9C9C78DA49699832896EBC4C1DFC","HEAL_033.mammalGrid.mam","D19","HEAL","HEAL_033","C8","distributed","shrubScrub",63.875646,-149.257540,"WGS84",45.1,671.3,0.1,"6 - trap set and empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
"1a7760d4-4ed5-4d98-9f97-073e0dab1fee","31155F9E10D6457D91B05938AD652691","HEAL_032.mammalGrid.mam","D19","HEAL","HEAL_032","I8","distributed","shrubScrub",63.882432,-149.268806,"WGS84",45.9,655.2,0.8,"6 - trap set and empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
"79fabb7f-729b-458d-91e2-0443289d88ae","31155F9E10D6457D91B05938AD652691","HEAL_032.mammalGrid.mam","D19","HEAL","HEAL_032","J7","distributed","shrubScrub",63.882432,-149.268806,"WGS84",45.9,655.2,0.8,"6 - trap set and empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
"a963a8a2-06e5-46fe-aa94-5665bdd929a2","43F1347AC091461182DA5DB082A45D96","HEAL_031.mammalGrid.mam","D19","HEAL","HEAL_031","H3","distributed","dwarfScrub",63.875024,-149.239578,"WGS84",45.1,677.5,0.1,"6 - trap set and empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
"0bfe3f4d-29f1-483c-847c-ae72ce2e6308","43F1347AC091461182DA5DB082A45D96","HEAL_031.mammalGrid.mam","D19","HEAL","HEAL_031","H9","distributed","dwarfScrub",63.875024,-149.239578,"WGS84",45.1,677.5,0.1,"6 - trap set and empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
"0b236878-7a4c-4e38-959e-13b4a49af403","0FFD9C9C78DA49699832896EBC4C1DFC","HEAL_033.mammalGrid.mam","D19","HEAL","HEAL_033","H6","distributed","shrubScrub",63.875646,-149.257540,"WGS84",45.1,671.3,0.1,"6 - trap set and empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
"90b46424-69b9-4077-b391-3bba7a889117","0FFD9C9C78DA49699832896EBC4C1DFC","HEAL_033.mammalGrid.mam","D19","HEAL","HEAL_033","F10","distributed","shrubScrub",63.875646,-149.257540,"WGS84",45.1,671.3,0.1,"2 - trap disturbed/door closed but empty","ShermanLF","2016-07-01","2016-07-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jjohnson@neoninc.org","ebuckner@field-ops.org",,,
