uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"4dbfd044-c8c7-49bc-93a7-ed21fb296fab","2C5D99C7013044D1902E4134B19800DD","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","A6","distributed","deciduousForest",31.195225,-84.472087,"WGS84",45.2,33.0,0.3,"2 - trap disturbed/door closed but empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvistocci@field-ops.org","aheupel@field-ops.org",,,
"ff79ef99-dbfe-4408-81a3-4bc28e4c8295","8BED0558AFC84202870199B26407B667","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","D4","distributed","mixedForest",31.188338,-84.454487,"WGS84",45.1,42.5,0.1,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"anicely@Field-ops.org","jeells@neoninc.org",,,
"a5bfb19f-ab35-4c6a-8046-0bc09812a50f","8BED0558AFC84202870199B26407B667","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","B8","distributed","mixedForest",31.188338,-84.454487,"WGS84",45.1,42.5,0.1,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"anicely@Field-ops.org","jeells@neoninc.org",,,
"bcf259dc-85a4-41eb-aef3-34d3cffea86d","3870D85E92264E57A5CCE7CDB0B95823","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","H2","distributed","evergreenForest",31.197297,-84.451595,"WGS84",45.2,44.7,0.2,"2 - trap disturbed/door closed but empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvistocci@field-ops.org","aheupel@field-ops.org",,,
"f8c7e068-3f62-40ca-a3d0-517ee28ce0c9","3870D85E92264E57A5CCE7CDB0B95823","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","G1","distributed","evergreenForest",31.197297,-84.451595,"WGS84",45.2,44.7,0.2,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvistocci@field-ops.org","aheupel@field-ops.org",,,
"6442ba01-15dc-4de1-a71c-cec43ad49ef2","11B54B9565C74C7AA7B464906491A964","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","D9","distributed","evergreenForest",31.194279,-84.455589,"WGS84",45.2,51.5,0.2,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"anicely@field-ops.org","jeells@neoninc.org",,,
"d147b712-cd03-4ef1-99f7-12e109fef70e","2C5D99C7013044D1902E4134B19800DD","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","C2","distributed","deciduousForest",31.195225,-84.472087,"WGS84",45.2,33.0,0.3,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvistocci@field-ops.org","aheupel@field-ops.org",,,
"5709841e-5eb4-4352-a1ea-7414c319bfb9","2C5D99C7013044D1902E4134B19800DD","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","F7","distributed","deciduousForest",31.195225,-84.472087,"WGS84",45.2,33.0,0.3,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvistocci@field-ops.org","aheupel@field-ops.org",,,
"3d774f51-89f4-400a-bd61-78dd9e08e634","11B54B9565C74C7AA7B464906491A964","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","C8","distributed","evergreenForest",31.194279,-84.455589,"WGS84",45.2,51.5,0.2,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"anicely@field-ops.org","jeells@neoninc.org",,,
"d989f272-2052-47e7-9561-fd2978e49f80","3870D85E92264E57A5CCE7CDB0B95823","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","I5","distributed","evergreenForest",31.197297,-84.451595,"WGS84",45.2,44.7,0.2,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvistocci@field-ops.org","aheupel@field-ops.org",,,
"5e70ceab-bc75-4792-8fa2-366cb4b29ebd","3870D85E92264E57A5CCE7CDB0B95823","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","A9","distributed","evergreenForest",31.197297,-84.451595,"WGS84",45.2,44.7,0.2,"5 - capture","ShermanLF","2014-06-25","2014-06-25","NEON.MAM.D03.R2406",,"PEGO","Peromyscus gossypinus","species",,"Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.",,,"N","M","Y",,,"adult","nonscrotal",,"not",,21,,,,27,,,,,,,"JERC.20140625.R2406.B",,"mandibular","JERC.20140625.R2406.F",,"fresh",,,"JERC.20140625.R2406.H",,"hairAndWhisker",,,"rvistocci@field-ops.org","aheupel@field-ops.org",,,
"e9589886-28f6-42c6-910e-deca7155c826","8BED0558AFC84202870199B26407B667","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","A5","distributed","mixedForest",31.188338,-84.454487,"WGS84",45.1,42.5,0.1,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"anicely@Field-ops.org","jeells@neoninc.org",,,
"9254190c-7c42-4df4-a4d9-eeaf9dd92d5a","8BED0558AFC84202870199B26407B667","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","A3","distributed","mixedForest",31.188338,-84.454487,"WGS84",45.1,42.5,0.1,"6 - trap set and empty",,"2014-06-25","2014-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"anicely@Field-ops.org","jeells@neoninc.org",,,
