uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"44ba82bf-06a9-4e9a-a318-86f5e9431752","EC0DBD6B04574273AB8C0E0537440179","KONZ_008.mammalGrid.mam","D06","KONZ","KONZ_008","I2","distributed","grasslandHerbaceous",39.109380,-96.545730,"WGS84",45.1,399.1,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"4493d3ad-25b9-4f74-b3dd-45f2e7102a6b","389147AA6A204B7DA8269DABE84134CA","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","F8","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"2 - trap disturbed/door closed but empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"4f0141d4-4722-4504-a382-b3c856185fd3","389147AA6A204B7DA8269DABE84134CA","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","J5","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"5 - capture","ShermanLF","2015-08-11","2015-08-11","NEON.MAM.D06.R1823",,"PELE","Peromyscus leucopus","species",,"NEON.DOC.001907",,,"N","F","Y",,,"adult",,"nonenlarged","not","neither",22,,77,,21,,,,,,,"KONZ.20150811.R1823.B",,"mandibular",,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"660b646f-8527-49a8-891c-55323f3c5101","389147AA6A204B7DA8269DABE84134CA","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","B8","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"f556fc3e-11c7-466e-82f8-277a1b2cf4ce","AC4391D2F1ED4132BE2E8EE12D5F7900","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","H2","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"5 - capture","ShermanLF","2015-08-11","2015-08-11","NEON.MAM.D06.R1770",,"MIOC","Microtus ochrogaster","species",,"NEON.DOC.001907",,,"N","M","N",,,"adult","scrotal",,"not",,21,,,,43,,,,,,,"KONZ.20150811.R1770.B",,"mandibular",,,,,,,,,,,"skremidas@neoninc.org","nmull@field-ops.org",,,
"a5d06c51-9371-4fec-9b75-8d4d2f5ce479","389147AA6A204B7DA8269DABE84134CA","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","E3","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"b7b400ca-933f-4475-9481-c735d9dcc62a","EC0DBD6B04574273AB8C0E0537440179","KONZ_008.mammalGrid.mam","D06","KONZ","KONZ_008","A3","distributed","grasslandHerbaceous",39.109380,-96.545730,"WGS84",45.1,399.1,0.1,"5 - capture","ShermanLF","2015-08-11","2015-08-11","NEON.MAM.D06.R1881",,"PEMA","Peromyscus maniculatus","species",,"NEON.DOC.001907",,,"N","F","Y",,,"adult",,"nonenlarged","not","plugged",18,,60,,14,,,,,,,"KONZ.20150811.R1881.B",,"mandibular",,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"11707217-95f1-490e-b7cc-dd50842a82f4","389147AA6A204B7DA8269DABE84134CA","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","C2","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"86b049c7-ba7a-465b-8d71-95d4db90ad61","EC0DBD6B04574273AB8C0E0537440179","KONZ_008.mammalGrid.mam","D06","KONZ","KONZ_008","F5","distributed","grasslandHerbaceous",39.109380,-96.545730,"WGS84",45.1,399.1,0.1,"2 - trap disturbed/door closed but empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"870415bf-9535-4276-800d-22eb21e1f628","EC0DBD6B04574273AB8C0E0537440179","KONZ_008.mammalGrid.mam","D06","KONZ","KONZ_008","I5","distributed","grasslandHerbaceous",39.109380,-96.545730,"WGS84",45.1,399.1,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"0d5ed63d-88ac-4b3c-ab31-e9c4cc6ecf44","389147AA6A204B7DA8269DABE84134CA","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","A7","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"b91e0b6a-5d4b-4c5e-a4db-da67f0a4313d","AC4391D2F1ED4132BE2E8EE12D5F7900","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","B4","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"skremidas@neoninc.org","nmull@field-ops.org",,,
"0564db63-53c6-4dae-ac06-dde6f46ead73","EC0DBD6B04574273AB8C0E0537440179","KONZ_008.mammalGrid.mam","D06","KONZ","KONZ_008","G7","distributed","grasslandHerbaceous",39.109380,-96.545730,"WGS84",45.1,399.1,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"003b2b30-5d67-4584-bec4-870940c26c51","AC4391D2F1ED4132BE2E8EE12D5F7900","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","D3","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"5 - capture","ShermanLF","2015-08-11","2015-08-11","NEON.MAM.D06.R1783",,"MIOC","Microtus ochrogaster","species",,"NEON.DOC.001907",,,"N","M","N",,"R","adult","scrotal",,"not",,19,,,,38,,,,,,,"KONZ.20150811.R1783.B",,"mandibular",,,,,,,,,,,"skremidas@neoninc.org","nmull@field-ops.org",,,
"8740027a-e429-48bb-838e-1c267e153020","AC4391D2F1ED4132BE2E8EE12D5F7900","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","G7","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"skremidas@neoninc.org","nmull@field-ops.org",,,
"6b4f6129-e16c-41bf-9ef4-5e413e37c5a9","389147AA6A204B7DA8269DABE84134CA","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","H8","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"5 - capture","ShermanLF","2015-08-11","2015-08-11","NEON.MAM.D06.O027H8",,"BLHY","Blarina hylophaga","species",,"NEON.DOC.001907",,,"N","F","N","dead",,"adult",,"nonenlarged","not","neither",13,,,,11,,,,,,,,,,,,,,,,,,"KONZ.20150811.O027H8.V",,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"c5efcc50-faab-4f79-9ba8-356269e076ca","AC4391D2F1ED4132BE2E8EE12D5F7900","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","A7","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"skremidas@neoninc.org","nmull@field-ops.org",,,
"23adf512-b271-4f96-a221-8445b21df6d2","AC4391D2F1ED4132BE2E8EE12D5F7900","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","A1","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"5 - capture","ShermanLF","2015-08-11","2015-08-11","NEON.MAM.D06.R1774",,"MIOC","Microtus ochrogaster","species",,"NEON.DOC.001907",,,"N","F","Y",,,"adult",,"nonenlarged","not","neither",20,,,,43,,,,,,,"KONZ.20150811.R1774.B",,"mandibular",,,,,,,,,,,"skremidas@neoninc.org","nmull@field-ops.org",,,
"bc30e0bc-30a4-4e99-b942-703d43063686","AC4391D2F1ED4132BE2E8EE12D5F7900","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","G10","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"5 - capture","ShermanLF","2015-08-11","2015-08-11","NEON.MAM.D06.R1760",,"MIOC","Microtus ochrogaster","species",,"NEON.DOC.001907",,,"N","F","Y",,,"adult",,"nonenlarged","not","neither",19,,,,40,,,,,,,"KONZ.20150811.R1760.B",,"mandibular",,,,,,,,,,,"skremidas@neoninc.org","nmull@field-ops.org",,,
"ddc5c70e-b097-40be-8878-485e6f193b19","EC0DBD6B04574273AB8C0E0537440179","KONZ_008.mammalGrid.mam","D06","KONZ","KONZ_008","E10","distributed","grasslandHerbaceous",39.109380,-96.545730,"WGS84",45.1,399.1,0.1,"5 - capture","ShermanLF","2015-08-11","2015-08-11","NEON.MAM.D06.R1805",,"PELE","Peromyscus leucopus","species",,"NEON.DOC.001907",,,"N","M","Y",,,"adult","scrotal",,"not",,22,,82,,29,,,,,,,"KONZ.20150811.R1805.B",,"mandibular",,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"6203e1b0-677b-49fa-a32d-179f4c03bf80","389147AA6A204B7DA8269DABE84134CA","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","C6","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"0b0c6a2d-2013-4cb5-81bf-01af8e5c6590","EC0DBD6B04574273AB8C0E0537440179","KONZ_008.mammalGrid.mam","D06","KONZ","KONZ_008","H9","distributed","grasslandHerbaceous",39.109380,-96.545730,"WGS84",45.1,399.1,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
"44543725-fa66-4433-a408-73e25fa41f2b","389147AA6A204B7DA8269DABE84134CA","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","C7","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty",,"2015-08-11","2015-08-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"mnoland@field-ops.org","kbailey@field-ops.org",,,
