uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"9ff5f360-78d1-4856-bdbf-f07dc76a0dd6","2B5A6FD3918646C786B60C9D82F7A45D","LAJA_003.mammalGrid.mam","D04","LAJA","LAJA_003","H4","distributed","pastureHay",18.025408,-67.079985,"WGS84",45.1,20.5,0.1,"2 - trap disturbed/door closed but empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kruiz-medina@field-ops.org","mresto@field-ops.org","Ants",,
"684b4b11-59d8-4485-8fcc-f59b2f339176","C99AF91934F84306A255A26D3EE48CCA","LAJA_002.mammalGrid.mam","D04","LAJA","LAJA_002","F6","distributed","cultivatedCrops",18.035656,-67.074736,"WGS84",45.1,31.1,0.1,"6 - trap set and empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","pruiz-castro@field-ops.org",,,
"19642d62-a4d3-4519-bace-17e66338d6b6","C99AF91934F84306A255A26D3EE48CCA","LAJA_002.mammalGrid.mam","D04","LAJA","LAJA_002","J5","distributed","cultivatedCrops",18.035656,-67.074736,"WGS84",45.1,31.1,0.1,"6 - trap set and empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","pruiz-castro@field-ops.org",,,
"0bc655dc-1e81-4cc1-b746-65ca1a978c41","C99AF91934F84306A255A26D3EE48CCA","LAJA_002.mammalGrid.mam","D04","LAJA","LAJA_002","I10","distributed","cultivatedCrops",18.035656,-67.074736,"WGS84",45.1,31.1,0.1,"6 - trap set and empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","pruiz-castro@field-ops.org",,,
"6c98ecee-e36f-4e43-8d66-b1de423f0c7a","2B5A6FD3918646C786B60C9D82F7A45D","LAJA_003.mammalGrid.mam","D04","LAJA","LAJA_003","E3","distributed","pastureHay",18.025408,-67.079985,"WGS84",45.1,20.5,0.1,"6 - trap set and empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kruiz-medina@field-ops.org","mresto@field-ops.org",,,
"38256301-b3b3-4c77-9a7d-228690b66faa","2550DEEAA11C41F2BB3A145403741154","LAJA_023.mammalGrid.mam","D04","LAJA","LAJA_023","A6","distributed","grasslandHerbaceous",18.034536,-67.068577,"WGS84",45.1,25.9,0.1,"6 - trap set and empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","pruiz-castro@field-ops.org",,,
"450f49df-8d3d-412f-be6b-ade1c84dc60f","C99AF91934F84306A255A26D3EE48CCA","LAJA_002.mammalGrid.mam","D04","LAJA","LAJA_002","A7","distributed","cultivatedCrops",18.035656,-67.074736,"WGS84",45.1,31.1,0.1,"2 - trap disturbed/door closed but empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","pruiz-castro@field-ops.org","Ants",,
"779b0754-903a-4623-a35f-ecf90409eccb","C99AF91934F84306A255A26D3EE48CCA","LAJA_002.mammalGrid.mam","D04","LAJA","LAJA_002","I3","distributed","cultivatedCrops",18.035656,-67.074736,"WGS84",45.1,31.1,0.1,"6 - trap set and empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","pruiz-castro@field-ops.org",,,
"d7f1da06-64da-4eb7-ba73-7dba6fd1572a","2B5A6FD3918646C786B60C9D82F7A45D","LAJA_003.mammalGrid.mam","D04","LAJA","LAJA_003","D4","distributed","pastureHay",18.025408,-67.079985,"WGS84",45.1,20.5,0.1,"6 - trap set and empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kruiz-medina@field-ops.org","mresto@field-ops.org",,,
"5ac94a8f-46bd-499f-968b-844f7a2e2d7e","2550DEEAA11C41F2BB3A145403741154","LAJA_023.mammalGrid.mam","D04","LAJA","LAJA_023","F7","distributed","grasslandHerbaceous",18.034536,-67.068577,"WGS84",45.1,25.9,0.1,"6 - trap set and empty","ShermanXLF","2016-09-27","2016-09-27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jorengo@neoninc.org","pruiz-castro@field-ops.org",,,
