uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"972467bb-c839-4be6-a9f2-03c69a5ca836","2f051eb6-f346-45fd-ae33-8671bc675ec0","LENO_008.mammalGrid.mam","D08","LENO","LENO_008","B5","distributed","deciduousForest",31.814529,-88.191341,"WGS84",45.2,14.0,0.2,"6 - trap set and empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvalentine@battelleecology.org","hwhatley@battelleecology.org",,,
"0ce00a50-e561-437d-b0ad-b9e43b3e7df3","9f00977a-dc28-41e2-bb1d-083ead559b9f","LENO_006.mammalGrid.mam","D08","LENO","LENO_006","E5","distributed","woodyWetlands",31.815234,-88.186236,"WGS84",45.1,13.8,0.2,"6 - trap set and empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"charrell@battelleecology.org","lnagel@battelleecology.org",,,
"37e89d59-9418-4860-965a-0a53d3c87a14","55487e4e-116a-44bb-9da0-8cf8fda5e47b","LENO_031.mammalGrid.mam","D08","LENO","LENO_031","D2","distributed","woodyWetlands",31.822791,-88.188670,"WGS84",45.3,17.5,0.3,"6 - trap set and empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"charrell@battelleecology.org","lnagel@battelleecology.org",,,
"9c38023c-ef83-411e-b2ad-4c4f7434a6fa","b6cd30d9-d22e-4aaf-8f1d-f54c35d75184","LENO_002.mammalGrid.mam","D08","LENO","LENO_002","H9","distributed","woodyWetlands",31.807702,-88.192692,"WGS84",45.3,12.7,0.5,"6 - trap set and empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvalentine@battelleecology.org","hwhatley@battelleecology.org",,,
"28a055a6-3ce9-452c-af52-3058d7396fc2","9f00977a-dc28-41e2-bb1d-083ead559b9f","LENO_006.mammalGrid.mam","D08","LENO","LENO_006","B6","distributed","woodyWetlands",31.815234,-88.186236,"WGS84",45.1,13.8,0.2,"6 - trap set and empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"charrell@battelleecology.org","lnagel@battelleecology.org",,,
"f2e5ffcf-1707-41fa-b494-49fb701e90a5","2f051eb6-f346-45fd-ae33-8671bc675ec0","LENO_008.mammalGrid.mam","D08","LENO","LENO_008","E3","distributed","deciduousForest",31.814529,-88.191341,"WGS84",45.2,14.0,0.2,"6 - trap set and empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvalentine@battelleecology.org","hwhatley@battelleecology.org",,,
"741a878c-bd4a-44b3-812b-b1c553e2832d","2f051eb6-f346-45fd-ae33-8671bc675ec0","LENO_008.mammalGrid.mam","D08","LENO","LENO_008","B4","distributed","deciduousForest",31.814529,-88.191341,"WGS84",45.2,14.0,0.2,"6 - trap set and empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvalentine@battelleecology.org","hwhatley@battelleecology.org",,,
"4708bb09-c554-46ab-8e6d-1e41a2202d21","2f051eb6-f346-45fd-ae33-8671bc675ec0","LENO_008.mammalGrid.mam","D08","LENO","LENO_008","I9","distributed","deciduousForest",31.814529,-88.191341,"WGS84",45.2,14.0,0.2,"2 - trap disturbed/door closed but empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rvalentine@battelleecology.org","hwhatley@battelleecology.org",,,
"760e7daa-6ae5-44ca-89cc-e37f945e9fd7","9f00977a-dc28-41e2-bb1d-083ead559b9f","LENO_006.mammalGrid.mam","D08","LENO","LENO_006","D10","distributed","woodyWetlands",31.815234,-88.186236,"WGS84",45.1,13.8,0.2,"6 - trap set and empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"charrell@battelleecology.org","lnagel@battelleecology.org",,,
"3abe774a-4b17-4fa7-b082-fb29cf4b6783","9f00977a-dc28-41e2-bb1d-083ead559b9f","LENO_006.mammalGrid.mam","D08","LENO","LENO_006","H5","distributed","woodyWetlands",31.815234,-88.186236,"WGS84",45.1,13.8,0.2,"2 - trap disturbed/door closed but empty","ShermanLF","2018-10-16","2018-10-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"charrell@battelleecology.org","lnagel@battelleecology.org","Kicked over",,
