uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"6243d538-8f7a-4a91-8665-2d574175689f","73D009E7E7F4494CA67F9CFF25F261E9","MOAB_006.mammalGrid.mam","D13","MOAB","MOAB_006","I2","distributed","shrubScrub",38.236238,-109.404418,"WGS84",45.1,1761.2,0.2,"6 - trap set and empty","ShermanXLF","2016-10-03","2016-10-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hoswald@neoninc.org","akelly@field-ops.org",,,
"9bf4a8de-a55f-4475-9277-daa21596ee03","C1893B3A82844D8AB78B592839119A57","MOAB_002.mammalGrid.mam","D13","MOAB","MOAB_002","G7","distributed","shrubScrub",38.209249,-109.414560,"WGS84",45.1,1774.0,0.1,"6 - trap set and empty","ShermanXLF","2016-10-03","2016-10-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hoswald@neoninc.org","akelly@field-ops.org",,,
"8b2da675-848f-48a6-96dd-d26349efba94","C1893B3A82844D8AB78B592839119A57","MOAB_002.mammalGrid.mam","D13","MOAB","MOAB_002","F8","distributed","shrubScrub",38.209249,-109.414560,"WGS84",45.1,1774.0,0.1,"6 - trap set and empty","ShermanXLF","2016-10-03","2016-10-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hoswald@neoninc.org","akelly@field-ops.org",,,
"2c34339b-efec-440e-bec0-cf5b1b811e49","C1893B3A82844D8AB78B592839119A57","MOAB_002.mammalGrid.mam","D13","MOAB","MOAB_002","A4","distributed","shrubScrub",38.209249,-109.414560,"WGS84",45.1,1774.0,0.1,"6 - trap set and empty","ShermanXLF","2016-10-03","2016-10-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hoswald@neoninc.org","akelly@field-ops.org",,,
"a1045215-3c6c-4d1a-b5b7-868d1a14f20c","73D009E7E7F4494CA67F9CFF25F261E9","MOAB_006.mammalGrid.mam","D13","MOAB","MOAB_006","G3","distributed","shrubScrub",38.236238,-109.404418,"WGS84",45.1,1761.2,0.2,"6 - trap set and empty","ShermanXLF","2016-10-03","2016-10-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hoswald@neoninc.org","akelly@field-ops.org",,,
"fb581792-5311-484d-82f8-6e8a570fe9c5","C1893B3A82844D8AB78B592839119A57","MOAB_002.mammalGrid.mam","D13","MOAB","MOAB_002","B3","distributed","shrubScrub",38.209249,-109.414560,"WGS84",45.1,1774.0,0.1,"5 - capture","ShermanXLK","2016-10-03","2016-10-03","NEON.MAM.D13.R2716",,"PEMA","Peromyscus maniculatus","species",,"D13 - NEON.DOC.003139",,,"N","M","Y",,,"adult","nonscrotal",,,,20,,,,17,"N","N","N",,,,,,,"MOAB.20161003.R2716.F",,"fresh",,,,,,,,"hoswald@neoninc.org","akelly@field-ops.org",,,
"21710102-49ac-4f9f-b839-5023fbc00fbc","C1893B3A82844D8AB78B592839119A57","MOAB_002.mammalGrid.mam","D13","MOAB","MOAB_002","H4","distributed","shrubScrub",38.209249,-109.414560,"WGS84",45.1,1774.0,0.1,"5 - capture","ShermanXLK","2016-10-03","2016-10-03","NEON.MAM.D13.L1937",,"DIOR","Dipodomys ordii","species",,"D13 - NEON.DOC.003139",,,"N","M","Y",,,"adult","nonscrotal",,,,43,,,,67,"N","N","N",,,,,,,"MOAB.20161003.L1937.F",,"fresh",,,"MOAB.20161003.L1937.H",,"hairAndWhisker",,,"hoswald@neoninc.org","akelly@field-ops.org",,,
"928bbf98-e27c-4b59-8f57-723f1fc4f47c","73D009E7E7F4494CA67F9CFF25F261E9","MOAB_006.mammalGrid.mam","D13","MOAB","MOAB_006","H4","distributed","shrubScrub",38.236238,-109.404418,"WGS84",45.1,1761.2,0.2,"5 - capture","ShermanXLF","2016-10-03","2016-10-03","NEON.MAM.D13.O006H420161003",,"DIOR","Dipodomys ordii","species",,"D13 - NEON.DOC.003139",,,"N","U","Y","released",,"unknown",,,,,,,,,,"U","U","U",,,,,,,,,,,,,,,,,"hoswald@neoninc.org","akelly@field-ops.org",,,
"9abca151-4837-421c-9b3a-976bd48af1b8","C1893B3A82844D8AB78B592839119A57","MOAB_002.mammalGrid.mam","D13","MOAB","MOAB_002","C9","distributed","shrubScrub",38.209249,-109.414560,"WGS84",45.1,1774.0,0.1,"6 - trap set and empty","ShermanXLF","2016-10-03","2016-10-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"hoswald@neoninc.org","akelly@field-ops.org",,,
"d64cc427-9ced-48e3-afa6-ea3805c048e9","73D009E7E7F4494CA67F9CFF25F261E9","MOAB_006.mammalGrid.mam","D13","MOAB","MOAB_006","J6","distributed","shrubScrub",38.236238,-109.404418,"WGS84",45.1,1761.2,0.2,"5 - capture","ShermanXLK","2016-10-03","2016-10-03","NEON.MAM.D13.ML3044",,"ONLE","Onychomys leucogaster","species",,"D13 - NEON.DOC.003139",,,"N","M","Y",,,"adult","nonscrotal",,,,,,,,,"U","U","U",,,,,,,,,,,,,,,,,"hoswald@neoninc.org","akelly@field-ops.org",,,
