uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"0c10118a-2338-4ccb-807b-4d2b93335c54","024f65e1-7f19-4d00-b8f5-9b074a89fdd8","OAES_001.mammalGrid.mam","D11","OAES","OAES_001","A5","distributed","grasslandHerbaceous",35.413861,-99.058786,"WGS84",45.1,517.8,0.1,"6 - trap set and empty","ShermanXLK","2023-05-02","2023-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2942-5873","0000-0001-6932-8707",,,"d0abd64c-aa1d-4833-83e5-72a972bee252"
"c32b6f00-cc00-43e3-bfa4-bec3292b1441","b9ae0ec5-17b4-4d55-8856-5b062f014481","OAES_002.mammalGrid.mam","D11","OAES","OAES_002","B10","distributed","grasslandHerbaceous",35.419111,-99.050850,"WGS84",45.1,516.9,0.1,"6 - trap set and empty","ShermanXLK","2023-05-02","2023-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-6932-8707","0000-0003-2942-5873",,,"80da69cf-25ee-437f-b75f-5015ac73b528"
"f900e85d-9de4-4a80-8233-6b60fad6eb10","024f65e1-7f19-4d00-b8f5-9b074a89fdd8","OAES_001.mammalGrid.mam","D11","OAES","OAES_001","C10","distributed","grasslandHerbaceous",35.413861,-99.058786,"WGS84",45.1,517.8,0.1,"5 - capture","ShermanXLK","2023-05-02","2023-05-02","NEON.MAM.D11.R3990",,"PEMA","Peromyscus maniculatus","species","cf. species","NEON.DOC.003137",,,"N","M","N","processed",,"subadult","nonscrotal",,,,18,12,56,,15,"N","N","N",,"none","dry ice","OAES.20230502.R3990.B","D00000022067","mandibular",,,,"OAES.20230502.R3990.E","D00000022345","OAES.20230502.R3990.H","D00000186085","hairAndWhisker",,,"0000-0003-2942-5873","0000-0001-6932-8707",,,"e3351c2c-b81a-454b-8790-518f3b539a74"
"a6b5397f-42b8-49f1-8d98-06043cbddf75","024f65e1-7f19-4d00-b8f5-9b074a89fdd8","OAES_001.mammalGrid.mam","D11","OAES","OAES_001","A10","distributed","grasslandHerbaceous",35.413861,-99.058786,"WGS84",45.1,517.8,0.1,"6 - trap set and empty","ShermanXLK","2023-05-02","2023-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2942-5873","0000-0001-6932-8707",,,"80667391-0cc8-454a-8095-a214eadea032"
"57d1cdfb-1a82-46a3-95c4-1a63551a89b0","b9ae0ec5-17b4-4d55-8856-5b062f014481","OAES_002.mammalGrid.mam","D11","OAES","OAES_002","B1","distributed","grasslandHerbaceous",35.419111,-99.050850,"WGS84",45.1,516.9,0.1,"6 - trap set and empty","ShermanXLK","2023-05-02","2023-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-6932-8707","0000-0003-2942-5873",,,"f8b99a4c-c546-4e0a-8d6b-3af5c946b35f"
"ab981656-e657-401d-851a-c2e5ec788afc","b9ae0ec5-17b4-4d55-8856-5b062f014481","OAES_002.mammalGrid.mam","D11","OAES","OAES_002","J2","distributed","grasslandHerbaceous",35.419111,-99.050850,"WGS84",45.1,516.9,0.1,"6 - trap set and empty","ShermanXLK","2023-05-02","2023-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-6932-8707","0000-0003-2942-5873",,,"4d62d10a-415a-49e8-a3b6-3610226db117"
"09323c85-cf85-4b37-ae53-91e19a275fb4","eec9fd6b-7176-4174-a1a8-f96cea15db8f","OAES_003.mammalGrid.mam","D11","OAES","OAES_003","D3","distributed","grasslandHerbaceous",35.411667,-99.071306,"WGS84",45.1,506.6,0.1,"6 - trap set and empty","ShermanXLK","2023-05-02","2023-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4194-7642","0009-0004-0916-8982",,,"37126b4c-9cbd-452c-9a59-7999dbc0f5c2"
"73d780ca-323b-43a7-9831-6f87ba9d721f","c76868b1-9f77-4023-be6c-87fa3d9040d5","OAES_007.mammalGrid.mam","D11","OAES","OAES_007","C5","distributed","shrubScrub",35.419420,-99.055808,"WGS84",45.1,522.6,0.1,"6 - trap set and empty","ShermanXLK","2023-05-02","2023-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2942-5873","0000-0001-6932-8707",,,"567bb783-3266-4beb-af1a-747d82b2f68a"
"3362d9c9-fa3a-4108-8e13-0a3d4e36e99d","c76868b1-9f77-4023-be6c-87fa3d9040d5","OAES_007.mammalGrid.mam","D11","OAES","OAES_007","D2","distributed","shrubScrub",35.419420,-99.055808,"WGS84",45.1,522.6,0.1,"6 - trap set and empty","ShermanXLK","2023-05-02","2023-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2942-5873","0000-0001-6932-8707",,,"f037a3e2-e01a-4251-a8dc-4fe910cef81f"
"c19ee3df-fd4f-4d76-8b0a-6333b8cc328e","024f65e1-7f19-4d00-b8f5-9b074a89fdd8","OAES_001.mammalGrid.mam","D11","OAES","OAES_001","E1","distributed","grasslandHerbaceous",35.413861,-99.058786,"WGS84",45.1,517.8,0.1,"6 - trap set and empty","ShermanXLK","2023-05-02","2023-05-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2942-5873","0000-0001-6932-8707",,,"0e1106e2-99cb-4b69-a67e-803a0b32af61"
