uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"9bc4c922-77e4-4c60-9eca-dae2a50aac34","1e90ab37-187e-4f8b-8194-b3245ce5d413","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","C7","distributed","deciduousForest",38.886446,-78.146422,"WGS84",45.2,361.8,0.2,"5 - capture","ShermanLF","2023-07-11","2023-07-11","NEON.MAM.D02.R5487",,"PELE","Peromyscus leucopus","species","cf. species",,,,"N","F","N","processed",,"subadult",,"nonenlarged","not","neither",20,,,,13,"N","N","N",,"none","dry ice",,,,,,,"SCBI.20230711.R5487.E","D00000088008","SCBI.20230711.R5487.H","A00000168914","hairAndWhisker",,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"e841df7a-03de-406e-b889-b4f47f97a91e"
"96379ac6-4175-41fe-a9d6-555dc7aaa976","1e90ab37-187e-4f8b-8194-b3245ce5d413","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","D6","distributed","deciduousForest",38.886446,-78.146422,"WGS84",45.2,361.8,0.2,"6 - trap set and empty","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"8a4b1774-c151-4cd4-b182-afa68d96a0e6"
"3c6b129a-d1af-4eaa-9429-1ed4e70b0ce7","8422b3dd-d83f-4641-8fe2-ff7a8d23c797","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","I8","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"adced5a4-5234-4951-b354-361079e12d70"
"70eaa415-60ef-4d20-a61d-ebf2481ca266","8422b3dd-d83f-4641-8fe2-ff7a8d23c797","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","B7","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"42667ead-b372-46b4-ae2a-241b323b0cdf"
"071f1645-516f-41df-8c35-1b9aef29f360","8422b3dd-d83f-4641-8fe2-ff7a8d23c797","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","A7","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"743cc610-55dc-4632-b840-083040232f6e"
"9c3cdc77-fa9f-4585-ac00-fa949376673e","8422b3dd-d83f-4641-8fe2-ff7a8d23c797","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","G7","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"b4c9f4fd-609f-4623-ad14-6f5c94a284e9"
"52227f0c-d420-41c5-b148-18b658c1e340","1e90ab37-187e-4f8b-8194-b3245ce5d413","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","J6","distributed","deciduousForest",38.886446,-78.146422,"WGS84",45.2,361.8,0.2,"6 - trap set and empty","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"359040e8-e609-4634-b24d-b80fe3f670e9"
"f4270b90-4d4c-465a-a6ce-75b823d67d2b","8422b3dd-d83f-4641-8fe2-ff7a8d23c797","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","C5","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"18b9f10a-3fee-463e-84e2-c2e5982305f1"
"76e1df85-1647-4773-ad01-ae9544aacea8","8422b3dd-d83f-4641-8fe2-ff7a8d23c797","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","F3","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"41af0a0b-9e95-4615-af3d-5368b4e73fb6"
"3cce1eda-f498-4ded-85fb-7e7e64d1383e","1e90ab37-187e-4f8b-8194-b3245ce5d413","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","I5","distributed","deciduousForest",38.886446,-78.146422,"WGS84",45.2,361.8,0.2,"6 - trap set and empty","ShermanLF","2023-07-11","2023-07-11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0003-5407-4988",,,"8efe54ea-d14f-4aa6-9c2f-6a13b312c1cb"
