uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"dc976657-cf62-470d-9e31-26cbe36b11b6","F6BC9A47C41B4A46929533B3CCD9497F","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","G7","distributed","deciduousForest",38.899440,-76.553317,"WGS84",45.2,32.6,0.2,"2 - trap disturbed/door closed but empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"c5f33ace-c93e-4405-a6d7-52dd30ee70c1","F6BC9A47C41B4A46929533B3CCD9497F","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","J10","distributed","deciduousForest",38.899440,-76.553317,"WGS84",45.2,32.6,0.2,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"160b9132-bf27-4a7c-9d2b-cf8797172fea","F6BC9A47C41B4A46929533B3CCD9497F","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","I10","distributed","deciduousForest",38.899440,-76.553317,"WGS84",45.2,32.6,0.2,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"71750031-d8ed-47df-b2fe-39499dc08dcc","F6BC9A47C41B4A46929533B3CCD9497F","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","B7","distributed","deciduousForest",38.899440,-76.553317,"WGS84",45.2,32.6,0.2,"5 - capture","ShermanLF","2015-08-18","2015-08-18","NEON.MAM.D02.R1163",,"PELE","Peromyscus leucopus","species",,"NEON.DOC.001908",,,"N","M","Y",,,"adult","scrotal",,"not",,20,,,,24,,,,,,,"SERC.20150818.R1163.B",,"mandibular",,,,,,"SERC.20150818.R1163.H",,"hairAndWhisker",,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"d1c38ab4-270c-4adf-afbf-7040347e03ba","0D0C64034A56464AA8CFDEE152B886A8","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","H5","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"fe2983b6-c341-4cf2-a7ba-99b9efefdc89","58281798C568430B9568E9A224424E1A","SERC_007.mammalGrid.mam","D02","SERC","SERC_007","H10","distributed","cultivatedCrops",38.873534,-76.538146,"WGS84",45.1,3.9,0.1,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"krogers@field-ops.org","apiemonte@field-ops.org",,,
"7841914f-2c71-4fdf-85c0-4b2acb70dd9d","0D0C64034A56464AA8CFDEE152B886A8","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","E7","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"2 - trap disturbed/door closed but empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"25b3be74-7541-43d9-9b20-2c0e70db9b62","F6BC9A47C41B4A46929533B3CCD9497F","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","F1","distributed","deciduousForest",38.899440,-76.553317,"WGS84",45.2,32.6,0.2,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"1bd5a299-1046-4e81-9fd3-f8cc774b3e94","58281798C568430B9568E9A224424E1A","SERC_007.mammalGrid.mam","D02","SERC","SERC_007","F4","distributed","cultivatedCrops",38.873534,-76.538146,"WGS84",45.1,3.9,0.1,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"krogers@field-ops.org","apiemonte@field-ops.org",,,
"4a1397eb-569e-4e9b-b1bc-3e9e041a8674","0D0C64034A56464AA8CFDEE152B886A8","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","B4","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"2 - trap disturbed/door closed but empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"e2b62a81-ff41-4fdc-acf4-1691cb65517d","F6BC9A47C41B4A46929533B3CCD9497F","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","J9","distributed","deciduousForest",38.899440,-76.553317,"WGS84",45.2,32.6,0.2,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"04ad16b2-d5f3-4504-9144-912f7ecd8add","0D0C64034A56464AA8CFDEE152B886A8","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","E8","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"6a0780d4-783c-4cb6-9fb3-cffb028a0c3d","F6BC9A47C41B4A46929533B3CCD9497F","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","D2","distributed","deciduousForest",38.899440,-76.553317,"WGS84",45.2,32.6,0.2,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"da7f4606-fb02-4d9c-9c4b-404ba28725bc","F6BC9A47C41B4A46929533B3CCD9497F","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","G3","distributed","deciduousForest",38.899440,-76.553317,"WGS84",45.2,32.6,0.2,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
"ff68bc26-3572-49cf-9409-57c4f722346e","58281798C568430B9568E9A224424E1A","SERC_007.mammalGrid.mam","D02","SERC","SERC_007","C10","distributed","cultivatedCrops",38.873534,-76.538146,"WGS84",45.1,3.9,0.1,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"krogers@field-ops.org","apiemonte@field-ops.org",,,
"a6d312c2-ae1e-4a63-865b-60ca9bb40b5e","0D0C64034A56464AA8CFDEE152B886A8","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","G8","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"6 - trap set and empty",,"2015-08-18","2015-08-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lcard@neoninc.org","dhall-stratton@field-ops.org",,,
