uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"bd119dfd-f35a-473d-bd81-8e7c2bb1779b","AE64852C734B4CFCA3A0603F6E4E5469","SRER_007.mammalGrid.mam","D14","SRER","SRER_007","G2","distributed","shrubScrub",31.898586,-110.876603,"WGS84",45.1,933.6,0.1,"5 - capture","ShermanXLF","2016-12-01","2016-12-01","NEON.MAM.D14.O007G220161201",,"DIME","Dipodomys merriami","species",,"Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.",,,"N","U","U","released",,"unknown",,,,,,,,,,"U","U","U",,,,,,,,,,,,,,,,,"kharris@neoninc.org","kring@field-ops.org",,,
"5889c05c-a51f-4af7-baa2-03ed594c6797","AE64852C734B4CFCA3A0603F6E4E5469","SRER_007.mammalGrid.mam","D14","SRER","SRER_007","G1","distributed","shrubScrub",31.898586,-110.876603,"WGS84",45.1,933.6,0.1,"6 - trap set and empty","ShermanXLF","2016-12-01","2016-12-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kharris@neoninc.org","kring@field-ops.org",,,
"b6856142-77b0-411a-a4c1-95b833e0c2fb","C6AFAB2A46E84565A27A9557CDB88A38","SRER_012.mammalGrid.mam","D14","SRER","SRER_012","D8","distributed","shrubScrub",31.871302,-110.848939,"WGS84",45.1,1052.2,0.1,"5 - capture","ShermanXLK","2016-12-01","2016-12-01","NEON.MAM.D14.R1516",,"DIME","Dipodomys merriami","species",,"Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.",,,"N","U","Y",,,"adult",,,,,,,,,,"N","Y","Y",,,,,,,,,,,,,,,,,"tmull@field-ops.org","ewashburne@field-ops.org",,,
"6981390c-ea91-4dac-95f6-70368fbf4998","AE64852C734B4CFCA3A0603F6E4E5469","SRER_007.mammalGrid.mam","D14","SRER","SRER_007","B5","distributed","shrubScrub",31.898586,-110.876603,"WGS84",45.1,933.6,0.1,"5 - capture","ShermanXLK","2016-12-01","2016-12-01","NEON.MAM.D14.R1193",,"NEAL","Neotoma albigula","species",,"Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.",,,"N","F","Y",,,"adult",,"nonenlarged","not","neither",,,,,,"U","U","U",,,,"SRER.20161201.R1193.B",,"mandibular",,,,,,,,,,,"kharris@neoninc.org","kring@field-ops.org",,,
"a211eea3-13e7-4971-a205-2e5dd6aeb0ad","C6AFAB2A46E84565A27A9557CDB88A38","SRER_012.mammalGrid.mam","D14","SRER","SRER_012","I9","distributed","shrubScrub",31.871302,-110.848939,"WGS84",45.1,1052.2,0.1,"5 - capture","ShermanXLK","2016-12-01","2016-12-01","NEON.MAM.D14.R1668",,"ONTO","Onychomys torridus","species",,"Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.",,,"N","U","Y",,,"adult",,,,,,,,,,"U","U","U",,,,"SRER.20161201.R1668.B",,"mandibular",,,,,,,,,,,"tmull@field-ops.org","ewashburne@field-ops.org",,,
"a6ed65c7-ab1e-422b-8e8d-54a08ab97ea3","AE64852C734B4CFCA3A0603F6E4E5469","SRER_007.mammalGrid.mam","D14","SRER","SRER_007","I2","distributed","shrubScrub",31.898586,-110.876603,"WGS84",45.1,933.6,0.1,"2 - trap disturbed/door closed but empty","ShermanXLF","2016-12-01","2016-12-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"kharris@neoninc.org","kring@field-ops.org",,,
"822a197f-1111-4e89-9998-2e8d8639a1f4","C6AFAB2A46E84565A27A9557CDB88A38","SRER_012.mammalGrid.mam","D14","SRER","SRER_012","E1","distributed","shrubScrub",31.871302,-110.848939,"WGS84",45.1,1052.2,0.1,"5 - capture","ShermanXLK","2016-12-01","2016-12-01","NEON.MAM.D14.L1563",,"DIME","Dipodomys merriami","species",,"Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.",,,"N","U","Y",,,"adult",,,,,,,,,,"N","Y","N",,,,,,,,,,,,,,,,,"tmull@field-ops.org","ewashburne@field-ops.org",,,
"9bf75948-8f2c-484d-9c63-bdd10d974b54","C6AFAB2A46E84565A27A9557CDB88A38","SRER_012.mammalGrid.mam","D14","SRER","SRER_012","F6","distributed","shrubScrub",31.871302,-110.848939,"WGS84",45.1,1052.2,0.1,"5 - capture","ShermanXLK","2016-12-01","2016-12-01","NEON.MAM.D14.R2088",,"REFU","Reithrodontomys fulvescens","species",,"Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.",,,"N","U","N",,,"adult",,,,,,,,,12,"U","U","U",,,,"SRER.20161201.R2088.B",,"mandibular",,,,,,,,,,,"tmull@field-ops.org","ewashburne@field-ops.org",,,
"b6575298-bda4-43ba-b163-60620739b051","C6AFAB2A46E84565A27A9557CDB88A38","SRER_012.mammalGrid.mam","D14","SRER","SRER_012","E10","distributed","shrubScrub",31.871302,-110.848939,"WGS84",45.1,1052.2,0.1,"6 - trap set and empty","ShermanXLF","2016-12-01","2016-12-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"tmull@field-ops.org","ewashburne@field-ops.org",,,
"8700bdf1-b042-436c-a423-3d8f59b6f5ac","AE64852C734B4CFCA3A0603F6E4E5469","SRER_007.mammalGrid.mam","D14","SRER","SRER_007","H1","distributed","shrubScrub",31.898586,-110.876603,"WGS84",45.1,933.6,0.1,"5 - capture","ShermanXLK","2016-12-01","2016-12-01","NEON.MAM.D14.R2148",,"ONTO","Onychomys torridus","species",,"Reid, F. 2006. A field guide to mammals of North America, north of Mexico. 4th ed. Houghton Mifflin Company, Boston.",,,"N","F","N",,,"adult",,"nonenlarged","not","neither",,,,,,"U","U","U",,,,"SRER.20161201.R2148.B",,"mandibular",,,,,,,,,,,"kharris@neoninc.org","kring@field-ops.org",,,
