uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"cd91437a-2171-4c65-bd92-6495211e2a83","feef6a38-8edb-4544-beb3-0561eea8cf92","STER_027.mammalGrid.mam","D10","STER","STER_027","H9","distributed","cultivatedCrops",40.480573,-103.021063,"WGS84",45.1,1368.4,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"b94f28b7-e17a-4649-90fa-a1269776d948","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","D9","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"89c3b6d9-7fa5-4a2d-b419-dbc1277d673c","90795815-7d74-46b0-be9e-fd83acae457b","STER_006.mammalGrid.mam","D10","STER","STER_006","F10","distributed","cultivatedCrops",40.462418,-103.035457,"WGS84",45.1,1360.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"69f1d441-73ec-42e9-b951-58e4d3a45efb","feef6a38-8edb-4544-beb3-0561eea8cf92","STER_027.mammalGrid.mam","D10","STER","STER_027","F7","distributed","cultivatedCrops",40.480573,-103.021063,"WGS84",45.1,1368.4,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"a6609433-a7dd-4e65-af61-ef208f58dd00","90795815-7d74-46b0-be9e-fd83acae457b","STER_006.mammalGrid.mam","D10","STER","STER_006","B8","distributed","cultivatedCrops",40.462418,-103.035457,"WGS84",45.1,1360.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"51d32fdd-24c5-4210-9d39-cfff824bac4e","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","B8","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"d97f124a-3851-47b7-995b-fc32e3f692fa","feef6a38-8edb-4544-beb3-0561eea8cf92","STER_027.mammalGrid.mam","D10","STER","STER_027","G10","distributed","cultivatedCrops",40.480573,-103.021063,"WGS84",45.1,1368.4,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"6fc768ae-a063-44dd-9e74-31fcc34ab758","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","C9","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"c9987070-4862-4535-935b-c91998cec233","90795815-7d74-46b0-be9e-fd83acae457b","STER_006.mammalGrid.mam","D10","STER","STER_006","A1","distributed","cultivatedCrops",40.462418,-103.035457,"WGS84",45.1,1360.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"4fd7b4c2-96dc-4096-ac78-a7e90e9d12a0","feef6a38-8edb-4544-beb3-0561eea8cf92","STER_027.mammalGrid.mam","D10","STER","STER_027","F6","distributed","cultivatedCrops",40.480573,-103.021063,"WGS84",45.1,1368.4,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"2e1f5b35-04c6-425e-a8d7-006cc8b9637d","90795815-7d74-46b0-be9e-fd83acae457b","STER_006.mammalGrid.mam","D10","STER","STER_006","F5","distributed","cultivatedCrops",40.462418,-103.035457,"WGS84",45.1,1360.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"806988fd-543c-494b-a65d-36793f1a9645","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","D6","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"4a60fa32-2ea8-466e-bedb-305cd627cbbe","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","A6","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"4fa9ddb1-da9f-4acf-9ec1-b6e456d3ebd9","cb717ab4-4b9d-4ef1-9f11-5fb3d37fe7f9","STER_029.mammalGrid.mam","D10","STER","STER_029","E8","distributed","cultivatedCrops",40.468354,-103.013501,"WGS84",45.1,1357.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"052ee559-7c50-4977-b6a5-348cfe6dde87","cb717ab4-4b9d-4ef1-9f11-5fb3d37fe7f9","STER_029.mammalGrid.mam","D10","STER","STER_029","B3","distributed","cultivatedCrops",40.468354,-103.013501,"WGS84",45.1,1357.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"a18f4803-417a-4e53-b7ab-dd6e588f2a7b","feef6a38-8edb-4544-beb3-0561eea8cf92","STER_027.mammalGrid.mam","D10","STER","STER_027","B9","distributed","cultivatedCrops",40.480573,-103.021063,"WGS84",45.1,1368.4,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"a1101f6f-5f2e-4a2e-ae22-50e7250428d4","cb717ab4-4b9d-4ef1-9f11-5fb3d37fe7f9","STER_029.mammalGrid.mam","D10","STER","STER_029","G3","distributed","cultivatedCrops",40.468354,-103.013501,"WGS84",45.1,1357.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"41b29e68-280d-42dc-bb53-6104d86197be","feef6a38-8edb-4544-beb3-0561eea8cf92","STER_027.mammalGrid.mam","D10","STER","STER_027","J7","distributed","cultivatedCrops",40.480573,-103.021063,"WGS84",45.1,1368.4,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"3b22ba04-7d07-4a67-8da8-1dd2316a4748","90795815-7d74-46b0-be9e-fd83acae457b","STER_006.mammalGrid.mam","D10","STER","STER_006","C7","distributed","cultivatedCrops",40.462418,-103.035457,"WGS84",45.1,1360.9,0.1,"5 - capture","ShermanXLK","2017-05-04","2017-05-04","NEON.MAM.D10.R2829",,"PEMA","Peromyscus maniculatus","species",,,,,"N","F","N","processed",,"adult",,"enlarged","not","plugged",20,,,,22,"N","N","N",,,,"STER.20170504.R2829.B",,"mandibular","STER.20170504.R2829.F",,"fresh","STER.20170504.R2829.E",,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"4c8f9895-9fb9-45bf-ba11-6e2ea41ae4f8","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","G7","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"d390f36d-ab79-4fe9-85c0-d990f96fa3f5","feef6a38-8edb-4544-beb3-0561eea8cf92","STER_027.mammalGrid.mam","D10","STER","STER_027","J9","distributed","cultivatedCrops",40.480573,-103.021063,"WGS84",45.1,1368.4,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"9d34de06-195d-4fc8-bcb1-c93b1f769169","cb717ab4-4b9d-4ef1-9f11-5fb3d37fe7f9","STER_029.mammalGrid.mam","D10","STER","STER_029","A8","distributed","cultivatedCrops",40.468354,-103.013501,"WGS84",45.1,1357.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"332afe94-187f-43f1-94d2-16e5cf034450","90795815-7d74-46b0-be9e-fd83acae457b","STER_006.mammalGrid.mam","D10","STER","STER_006","J3","distributed","cultivatedCrops",40.462418,-103.035457,"WGS84",45.1,1360.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"b8a8d2d9-418e-46a9-8a3e-c9efde44c4f6","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","B5","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"35005137-eb25-4e96-9431-b2e83ce39316","feef6a38-8edb-4544-beb3-0561eea8cf92","STER_027.mammalGrid.mam","D10","STER","STER_027","D10","distributed","cultivatedCrops",40.480573,-103.021063,"WGS84",45.1,1368.4,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"c03b6cdd-ee75-44f0-9c06-ed3d68a4aa51","90795815-7d74-46b0-be9e-fd83acae457b","STER_006.mammalGrid.mam","D10","STER","STER_006","E6","distributed","cultivatedCrops",40.462418,-103.035457,"WGS84",45.1,1360.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"abe3d2cd-c6af-40f2-baec-8d28f45d38e3","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","I1","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"9728ba6c-53e1-476b-91d5-2779a2b25af4","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","F8","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"4e3ba9ab-b5f3-47f6-bb8f-f2d0869f41e9","cb717ab4-4b9d-4ef1-9f11-5fb3d37fe7f9","STER_029.mammalGrid.mam","D10","STER","STER_029","F6","distributed","cultivatedCrops",40.468354,-103.013501,"WGS84",45.1,1357.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"14541c51-c45e-4ba6-9dc1-a0cd4950c556","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","G10","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"7275aad2-246e-4d8a-942c-076bac2837d3","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","B3","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"f10a61b5-2193-4659-9a41-a8da3fafe714","feef6a38-8edb-4544-beb3-0561eea8cf92","STER_027.mammalGrid.mam","D10","STER","STER_027","G5","distributed","cultivatedCrops",40.480573,-103.021063,"WGS84",45.1,1368.4,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
"048e2ab6-ce06-4067-97ff-542887f2381e","01e6f373-c4e8-4934-acb4-85a038dd2b02","STER_031.mammalGrid.mam","D10","STER","STER_031","C1","distributed","cultivatedCrops",40.470356,-103.013883,"WGS84",45.1,1358.1,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sdixon@battelleecology.org","csandbach@battelleecology.org",,,
"7728c6e6-670f-4125-be4c-d0406665a627","90795815-7d74-46b0-be9e-fd83acae457b","STER_006.mammalGrid.mam","D10","STER","STER_006","H3","distributed","cultivatedCrops",40.462418,-103.035457,"WGS84",45.1,1360.9,0.1,"6 - trap set and empty","ShermanXLF","2017-05-04","2017-05-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cgray@battelleecology.org","Aperalta@battelleecology.org",,,
