uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"1007e648-0d54-4ba2-bd13-33add3989aaf","3afed858-09ac-48c5-88f4-b84fe30b5a7e","TALL_012.mammalGrid.mam","D08","TALL","TALL_012","B3","distributed","mixedForest",32.918043,-87.397403,"WGS84",45.2,144.3,0.3,"6 - trap set and empty","ShermanLF","2019-06-04","2019-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-4194-7642",,,
"979901af-4f0e-4e7b-a580-1b823330f228","4b8e9f1b-ca1f-4768-b389-04eb8cb97207","TALL_010.mammalGrid.mam","D08","TALL","TALL_010","D10","distributed","deciduousForest",32.925717,-87.418569,"WGS84",45.2,150.1,0.2,"6 - trap set and empty","ShermanLF","2019-06-04","2019-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-6892-534X","0000-0002-8528-4289",,,
"38bfcc9f-42fd-4abf-b797-e66d635db527","4b8e9f1b-ca1f-4768-b389-04eb8cb97207","TALL_010.mammalGrid.mam","D08","TALL","TALL_010","A3","distributed","deciduousForest",32.925717,-87.418569,"WGS84",45.2,150.1,0.2,"6 - trap set and empty","ShermanLF","2019-06-04","2019-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-6892-534X","0000-0002-8528-4289",,,
"6937c610-eb84-4256-aa72-3eba306aab67","7d162dd4-6764-4422-9aa7-b410eae69f9a","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","J9","distributed","deciduousForest",32.916575,-87.436582,"WGS84",45.1,112.2,0.2,"6 - trap set and empty","ShermanLF","2019-06-04","2019-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-4194-7642",,,
"6da9f020-95f4-4175-8856-47b64a74e660","7d162dd4-6764-4422-9aa7-b410eae69f9a","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","G2","distributed","deciduousForest",32.916575,-87.436582,"WGS84",45.1,112.2,0.2,"6 - trap set and empty","ShermanLF","2019-06-04","2019-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-4194-7642",,,
"47d37556-d2c4-422d-80ae-13909bf3899c","3afed858-09ac-48c5-88f4-b84fe30b5a7e","TALL_012.mammalGrid.mam","D08","TALL","TALL_012","C8","distributed","mixedForest",32.918043,-87.397403,"WGS84",45.2,144.3,0.3,"5 - capture","ShermanLF","2019-06-04","2019-06-04","NEON.MAM.D08.O012C820190604",,"BLCA","Blarina carolinensis","species","cf. species","Best, T. L., and J. L. Dusi. 2014. Mammals of Alabama. The University of Alabama Press, Tuscaloosa.",,,"N","U","U","released",,"unknown",,,,,,,,,,"U","U","U",,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-4194-7642",,,
"f54dd3d2-109d-4989-9149-449a8b99537b","4b8e9f1b-ca1f-4768-b389-04eb8cb97207","TALL_010.mammalGrid.mam","D08","TALL","TALL_010","B2","distributed","deciduousForest",32.925717,-87.418569,"WGS84",45.2,150.1,0.2,"6 - trap set and empty","ShermanLF","2019-06-04","2019-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-6892-534X","0000-0002-8528-4289",,,
"94bede0a-1778-451a-8770-cd0f213c68dc","7d162dd4-6764-4422-9aa7-b410eae69f9a","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","H4","distributed","deciduousForest",32.916575,-87.436582,"WGS84",45.1,112.2,0.2,"6 - trap set and empty","ShermanLF","2019-06-04","2019-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-4194-7642",,,
"548859c1-2a09-4d4f-9ac6-bb421b977597","b28bf48d-ec83-4e99-b3a0-06819f841cda","TALL_024.mammalGrid.mam","D08","TALL","TALL_024","G5","distributed","deciduousForest",32.923284,-87.420296,"WGS84",45.5,126.0,0.7,"6 - trap set and empty","ShermanLF","2019-06-04","2019-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-6892-534X","0000-0002-8528-4289",,,
"46232abe-8626-46d8-a178-23c6c2f5b7d7","7d162dd4-6764-4422-9aa7-b410eae69f9a","TALL_015.mammalGrid.mam","D08","TALL","TALL_015","G10","distributed","deciduousForest",32.916575,-87.436582,"WGS84",45.1,112.2,0.2,"6 - trap set and empty","ShermanLF","2019-06-04","2019-06-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-4194-7642",,,
