uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,remarks,dataQF,dataEntryRecordID
"0a3cc388-f0d8-472c-b1b3-8ef2a93b0d87","230b9d4c-d46b-4f46-acb5-f3786f0f8d0f","TREE_002.mammalGrid.mam","D05","TREE","TREE_002","I4","distributed","woodyWetlands",45.493088,-89.566240,"WGS84",45.2,456.8,0.3,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aelion@battelleecology.org","krohde@battelleecology.org",,,
"bdb0c8bb-9981-4f4e-8d6b-ebffc70c2d7c","46e2cdeb-6dc8-47ac-b362-735b1b071d71","TREE_019.mammalGrid.mam","D05","TREE","TREE_019","D4","distributed","mixedForest",45.494675,-89.572192,"WGS84",45.2,467.7,0.2,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aspink@neoninc.org","dsmith1@battelleecology.org",,,
"b8e725c4-b32f-451f-91f2-768e75847012","f900d271-6ed5-497b-b6ce-ee5510ac4772","TREE_016.mammalGrid.mam","D05","TREE","TREE_016","I8","distributed","evergreenForest",45.495082,-89.567651,"WGS84",45.2,466.1,0.3,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aspink@neoninc.org","dsmith1@battelleecology.org",,,
"6352b5e0-5d2a-48d5-93a5-941c4a0f93de","230b9d4c-d46b-4f46-acb5-f3786f0f8d0f","TREE_002.mammalGrid.mam","D05","TREE","TREE_002","F10","distributed","woodyWetlands",45.493088,-89.566240,"WGS84",45.2,456.8,0.3,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aelion@battelleecology.org","krohde@battelleecology.org",,,
"6e968c66-5cb5-44ac-b66e-28c81e583359","230b9d4c-d46b-4f46-acb5-f3786f0f8d0f","TREE_002.mammalGrid.mam","D05","TREE","TREE_002","I5","distributed","woodyWetlands",45.493088,-89.566240,"WGS84",45.2,456.8,0.3,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aelion@battelleecology.org","krohde@battelleecology.org",,,
"fe590af7-bb96-4f2e-a2a7-45e5eace23c6","46e2cdeb-6dc8-47ac-b362-735b1b071d71","TREE_019.mammalGrid.mam","D05","TREE","TREE_019","D3","distributed","mixedForest",45.494675,-89.572192,"WGS84",45.2,467.7,0.2,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aspink@neoninc.org","dsmith1@battelleecology.org",,,
"f7df9738-4ead-4c97-8a6f-827382e8265d","46e2cdeb-6dc8-47ac-b362-735b1b071d71","TREE_019.mammalGrid.mam","D05","TREE","TREE_019","I5","distributed","mixedForest",45.494675,-89.572192,"WGS84",45.2,467.7,0.2,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aspink@neoninc.org","dsmith1@battelleecology.org",,,
"37d5c1ce-8a5b-4d94-bab9-baeb8e192995","230b9d4c-d46b-4f46-acb5-f3786f0f8d0f","TREE_002.mammalGrid.mam","D05","TREE","TREE_002","I6","distributed","woodyWetlands",45.493088,-89.566240,"WGS84",45.2,456.8,0.3,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aelion@battelleecology.org","krohde@battelleecology.org",,,
"bdfb33ef-5a3c-46d2-8a24-400a2e5e6e20","230b9d4c-d46b-4f46-acb5-f3786f0f8d0f","TREE_002.mammalGrid.mam","D05","TREE","TREE_002","B8","distributed","woodyWetlands",45.493088,-89.566240,"WGS84",45.2,456.8,0.3,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aelion@battelleecology.org","krohde@battelleecology.org",,,
"0b23f33c-27be-4e8b-8c24-227c9f0e0090","142dc984-1cd5-44fe-b75f-4c1c5d19e094","TREE_028.mammalGrid.mam","D05","TREE","TREE_028","B2","distributed","deciduousForest",45.490023,-89.552829,"WGS84",45.2,482.4,0.3,"6 - trap set and empty","ShermanLF","2018-07-18","2018-07-18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"krohde@battelleecology.org","aelion@battelleecology.org",,,
