uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"b900b6b5-80b6-4752-91aa-c125eb3c257b","BART_002.tickPlot.tck","D01","BART","BART_002","distributed","deciduousForest",44.035239,-71.274681,"WGS84",20.2,501.3,0.3,,,"2015-06-10T12:30Z","BART.2015.23",,,"drag and flag",160,"N",0,0,,,"NEON.DOC.014045vF","Nhall@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"0e9c409a-6141-4f15-94bf-2e9d17b7db00","BART_015.tickPlot.tck","D01","BART","BART_015","distributed","mixedForest",44.042146,-71.271613,"WGS84",20.3,455.2,0.5,,,"2015-06-10T14:03Z","BART.2015.23",,,"drag and flag",160,"N",0,0,,,"NEON.DOC.014045vF","Nhall@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"7783a46c-0138-4da2-8628-b5cbb1172f54","BART_010.tickPlot.tck","D01","BART","BART_010","distributed","deciduousForest",44.051100,-71.267761,"WGS84",20.3,411.9,0.4,,,"2015-06-10T15:20Z","BART.2015.23",,,"drag and flag",158,"N",0,0,,,"NEON.DOC.014045vF","Nhall@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"d9e7513b-af46-411b-b865-84a824100e9c","BART_011.tickPlot.tck","D01","BART","BART_011","distributed","mixedForest",44.048783,-71.295353,"WGS84",20.2,399.5,0.2,,,"2015-06-10T16:55Z","BART.2015.23",,,"drag and flag",160,"N",0,0,,,"NEON.DOC.014045vF","Nhall@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"00bac05b-1af5-4660-a889-7353dbd99223","BART_029.tickPlot.tck","D01","BART","BART_029","distributed","evergreenForest",44.058949,-71.289334,"WGS84",20.1,292.2,0.2,,,"2015-06-10T18:10Z","BART.2015.23",,,"drag and flag",130,"N",0,0,,,"NEON.DOC.014045vF","Nhall@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"cb0d5825-1fe1-4d85-8362-dc43c27f2a60","BART_019.tickPlot.tck","D01","BART","BART_019","distributed","mixedForest",44.069348,-71.287994,"WGS84",20.3,232.3,0.5,,,"2015-06-10T19:03Z","BART.2015.23",,,"drag and flag",153,"N",0,0,,,"NEON.DOC.014045vF","Nhall@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"5a75a312-17bc-492a-bf77-cc19335b0008","BART_029.tickPlot.tck","D01","BART","BART_029","distributed","evergreenForest",44.058949,-71.289334,"WGS84",20.1,292.2,0.2,,,"2015-06-29T15:11Z","BART.2015.26",,,"drag and flag",145,"N",0,0,,,"NEON.DOC.014045vF","kauger@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"61b0e3e2-b1be-4f57-bd96-abb96967ce77","BART_019.tickPlot.tck","D01","BART","BART_019","distributed","mixedForest",44.069348,-71.287994,"WGS84",20.3,232.3,0.5,,,"2015-06-29T17:30Z","BART.2015.26",,,"drag and flag",156,"N",0,0,,,"NEON.DOC.014045vF","kauger@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"3de77ec7-e90c-45a2-984b-8dfcf60e5cf1","BART_011.tickPlot.tck","D01","BART","BART_011","distributed","mixedForest",44.048783,-71.295353,"WGS84",20.2,399.5,0.2,,,"2015-06-30T13:21Z","BART.2015.26",,,"drag and flag",160,"N",0,0,,,"NEON.DOC.014045vF","kauger@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"94b5c1b0-1b5c-4123-8fe6-b99bcd80e2ef","BART_002.tickPlot.tck","D01","BART","BART_002","distributed","deciduousForest",44.035239,-71.274681,"WGS84",20.2,501.3,0.3,,,"2015-06-30T15:22Z","BART.2015.26",,,"drag and flag",160,"N",0,0,,,"NEON.DOC.014045vF","kauger@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"823da56b-b8e4-4fe0-b741-d8eee6a94810","BART_015.tickPlot.tck","D01","BART","BART_015","distributed","mixedForest",44.042146,-71.271613,"WGS84",20.3,455.2,0.5,,,"2015-06-30T17:25Z","BART.2015.26",,,"drag and flag",160,"N",0,0,,,"NEON.DOC.014045vF","kauger@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
"279a90f6-a75d-4a87-bcba-b12bf066ff38","BART_010.tickPlot.tck","D01","BART","BART_010","distributed","deciduousForest",44.051100,-71.267761,"WGS84",20.3,411.9,0.4,,,"2015-06-30T19:00Z","BART.2015.26",,,"drag and flag",159,"N",0,0,,,"NEON.DOC.014045vF","kauger@field-ops.org","Zero capture; no sample collected. No data transcription errors found"
