uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"60cdb554-2f55-42ae-8f15-f5f10523ab25","BART_002.tickPlot.tck","D01","BART","BART_002","distributed","deciduousForest",44.035239,-71.274681,"WGS84",20.2,501.3,0.3,,,"2016-05-03T17:27Z","BART.2016.18",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","Ramundson@field-ops.org",
"f62017f0-a1d3-4e2b-bb4c-e9942d5ea8dd","BART_015.tickPlot.tck","D01","BART","BART_015","distributed","mixedForest",44.042146,-71.271613,"WGS84",20.3,455.2,0.5,,,"2016-05-03T18:30Z","BART.2016.18",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","Ramundson@field-ops.org",
"33bdc42b-0355-4b1d-9adb-137b1db478ff","BART_011.tickPlot.tck","D01","BART","BART_011","distributed","mixedForest",44.048783,-71.295353,"WGS84",20.2,399.5,0.2,,,"2016-05-03T19:41Z","BART.2016.18",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","Nfenton@field-ops.org",
"7243b770-b7bb-4fc9-a4d2-f2e68ed357a9","BART_010.tickPlot.tck","D01","BART","BART_010","distributed","deciduousForest",44.051100,-71.267761,"WGS84",20.3,411.9,0.4,,,"2016-05-03T20:37Z","BART.2016.18",,,"drag and flag",158,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","Ramundson@field-ops.org",
"12f4b0b1-4969-4fa0-b1e5-354ede62c930","BART_029.tickPlot.tck","D01","BART","BART_029","distributed","evergreenForest",44.058949,-71.289334,"WGS84",20.1,292.2,0.2,,,"2016-05-03T21:34Z","BART.2016.18",,,"drag and flag",153,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","Ramundson@field-ops.org",
"7b1157c7-cd21-4a33-9134-03e635f43c07","BART_019.tickPlot.tck","D01","BART","BART_019","distributed","mixedForest",44.069348,-71.287994,"WGS84",20.3,232.3,0.5,,,"2016-05-04T11:23Z","BART.2016.18",,,"drag and flag",155,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","Nfenton@field-ops.org",
"7f17c36e-b6b7-4105-b36c-d3e6ea7be384","BART_029.tickPlot.tck","D01","BART","BART_029","distributed","evergreenForest",44.058949,-71.289334,"WGS84",20.1,292.2,0.2,,,"2016-05-23T16:58Z","BART.2016.21",,,"drag and flag",150,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","Kschumacher@field-ops.org","18 meters S to SW, SW to W 16 meters, 24 meters dragged, loss of 10 meters"
"ea36b537-8737-466c-a446-404bf7183cf1","BART_011.tickPlot.tck","D01","BART","BART_011","distributed","mixedForest",44.048783,-71.295353,"WGS84",20.2,399.5,0.2,,,"2016-05-23T18:00Z","BART.2016.21",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","Kschumacher@field-ops.org",
"166fe5cd-a384-4190-a5f0-23ee7ce03aa5","BART_010.tickPlot.tck","D01","BART","BART_010","distributed","deciduousForest",44.051100,-71.267761,"WGS84",20.3,411.9,0.4,,,"2016-05-23T18:55Z","BART.2016.21",,,"drag and flag",161,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","AUccello@field-ops.org",
"1da28d82-1795-4c89-bc9b-096fc8fce72f","BART_019.tickPlot.tck","D01","BART","BART_019","distributed","mixedForest",44.069348,-71.287994,"WGS84",20.3,232.3,0.5,,,"2016-05-23T19:50Z","BART.2016.21",,,"drag and flag",157,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","AUccello@field-ops.org",
"6d07804b-9700-4351-87eb-6b3de01ab79f","BART_002.tickPlot.tck","D01","BART","BART_002","distributed","deciduousForest",44.035239,-71.274681,"WGS84",20.2,501.3,0.3,,,"2016-05-24T12:43Z","BART.2016.21",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","Kschumacher@field-ops.org",
"ecdf43c3-fcf9-49c1-8e07-7b89fb0fedbd","BART_015.tickPlot.tck","D01","BART","BART_015","distributed","mixedForest",44.042146,-71.271613,"WGS84",20.3,455.2,0.5,,,"2016-05-24T13:26Z","BART.2016.21",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","AUccello@field-ops.org",
