uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"7326cf39-7df0-4f35-be79-f35f998205b7","CLBJ_034.tickPlot.tck","D11","CLBJ","CLBJ_034","distributed","grasslandHerbaceous",33.320090,-97.578537,"WGS84",20.0,324.1,0.0,,,"2017-08-08T14:09Z","CLBJ.2017.33",,,"drag and flag",145,"N",0,0,0,,"NEON.DOC.014045vH","severett@battelleecology.org",
"e5a24ef5-bf71-4642-8f23-0eacee16dc73","CLBJ_036.tickPlot.tck","D11","CLBJ","CLBJ_036","distributed","grasslandHerbaceous",33.396494,-97.580918,"WGS84",20.1,288.3,0.1,,,"2017-08-08T15:01Z","CLBJ.2017.33",,,"drag",158,"N",0,0,0,,"NEON.DOC.014045vH","severett@battelleecology.org","Deviated due to cactus"
"01a93a29-8c11-4a90-ae83-e338ffd171dc","CLBJ_032.tickPlot.tck","D11","CLBJ","CLBJ_032","distributed","grasslandHerbaceous",33.405175,-97.595128,"WGS84",20.1,293.4,0.1,,,"2017-08-08T16:07Z","CLBJ.2017.33","CLBJ_032.20170808",,"drag and flag",160,"Y",1,0,0,"No known compromise","NEON.DOC.014045vH","severett@battelleecology.org",
"2f74ac43-2a67-4315-b0c0-43b58ef4d514","CLBJ_043.tickPlot.tck","D11","CLBJ","CLBJ_043","distributed","deciduousForest",33.410406,-97.593713,"WGS84",20.1,284.8,0.1,,,"2017-08-08T16:41Z","CLBJ.2017.33",,,"drag and flag",132,"N",0,0,0,,"NEON.DOC.014045vH","severett@battelleecology.org","Deviated due to ants and trees"
"27306d74-72b4-42b8-a813-56dfa894da66","CLBJ_033.tickPlot.tck","D11","CLBJ","CLBJ_033","distributed","deciduousForest",33.382288,-97.619783,"WGS84",20.1,304.4,0.1,,,"2017-08-08T18:08Z","CLBJ.2017.33","CLBJ_033.20170808",,"drag and flag",117,"Y",2,0,0,"No known compromise","NEON.DOC.014045vH","severett@battelleecology.org","Deviated due to heavy brush"
"15dfa5b7-f67d-4cb3-a238-13eb5144ddd5","CLBJ_040.tickPlot.tck","D11","CLBJ","CLBJ_040","distributed","deciduousForest",33.377571,-97.647237,"WGS84",20.1,327.7,0.1,,,"2017-08-08T18:54Z","CLBJ.2017.33",,,"drag and flag",102,"N",0,0,0,,"NEON.DOC.014045vH","severett@battelleecology.org","NE pole snapped."
"318e380e-64ef-4944-91ec-17772654c2af","CLBJ_034.tickPlot.tck","D11","CLBJ","CLBJ_034","distributed","grasslandHerbaceous",33.320090,-97.578537,"WGS84",20.0,324.1,0.0,,,"2017-08-29T13:55Z","CLBJ.2017.36",,,"drag and flag",145,"N",0,0,0,,"NEON.DOC.014045vH","araper@battelleecology.org",
"74ba12b0-78e0-4685-af3a-c95eb677d02a","CLBJ_036.tickPlot.tck","D11","CLBJ","CLBJ_036","distributed","grasslandHerbaceous",33.396494,-97.580918,"WGS84",20.1,288.3,0.1,,,"2017-08-29T14:50Z","CLBJ.2017.36",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vH","araper@battelleecology.org",
"a366c8b3-e7bd-4428-a5de-64ae44b83656","CLBJ_032.tickPlot.tck","D11","CLBJ","CLBJ_032","distributed","grasslandHerbaceous",33.405175,-97.595128,"WGS84",20.1,293.4,0.1,,,"2017-08-29T15:30Z","CLBJ.2017.36",,,"drag",145,"N",0,0,0,,"NEON.DOC.014045vH","araper@battelleecology.org",
"58047d64-904a-49bc-a794-1232f73ef3c2","CLBJ_043.tickPlot.tck","D11","CLBJ","CLBJ_043","distributed","deciduousForest",33.410406,-97.593713,"WGS84",20.1,284.8,0.1,,,"2017-08-29T16:03Z","CLBJ.2017.36",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vH","araper@battelleecology.org",
"964a5dfa-b845-462a-bfbf-4e0e9c889f7c","CLBJ_033.tickPlot.tck","D11","CLBJ","CLBJ_033","distributed","deciduousForest",33.382288,-97.619783,"WGS84",20.1,304.4,0.1,,,"2017-08-29T16:50Z","CLBJ.2017.36",,,"drag and flag",135,"N",0,0,0,"No known compromise","NEON.DOC.014045vH","araper@battelleecology.org",
"514fe660-d0ce-40c3-ac3e-de183306fe9f","CLBJ_040.tickPlot.tck","D11","CLBJ","CLBJ_040","distributed","deciduousForest",33.377571,-97.647237,"WGS84",20.1,327.7,0.1,,,"2017-08-29T17:40Z","CLBJ.2017.36",,,"drag and flag",125,"N",0,0,0,"No known compromise","NEON.DOC.014045vH","araper@battelleecology.org",
