uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"05521d7c-f755-426e-a792-54bbe27006f0","DCFS_004.tickPlot.tck","D09","DCFS","DCFS_004","distributed","grasslandHerbaceous",47.171933,-99.053166,"WGS84",20.2,505.0,0.8,"OK",,"2020-08-10T14:25Z","DCFS.2020.33",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-8352-658X",
"4eb16c0d-a72a-4911-90ed-fd07e87f5810","DCFS_007.tickPlot.tck","D09","DCFS","DCFS_007","distributed","grasslandHerbaceous",47.162946,-99.113801,"WGS84",20.1,567.7,0.2,"OK",,"2020-08-10T15:13Z","DCFS.2020.33",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-8352-658X",
"93ae7f2e-e760-4218-813c-984498e4ad27","DCFS_003.tickPlot.tck","D09","DCFS","DCFS_003","distributed","grasslandHerbaceous",47.207478,-99.183538,"WGS84",20.1,591.2,0.2,"OK",,"2020-08-10T16:13Z","DCFS.2020.33",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-8352-658X",
"f84e7611-a734-469e-aaac-3c5184b085a1","DCFS_010.tickPlot.tck","D09","DCFS","DCFS_010","distributed","grasslandHerbaceous",47.209874,-99.173926,"WGS84",20.1,578.4,0.2,"OK",,"2020-08-10T17:01Z","DCFS.2020.33",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3981-6870",
"07a53b86-6474-40cc-939b-cdc07c8ddf27","DCFS_001.tickPlot.tck","D09","DCFS","DCFS_001","distributed","grasslandHerbaceous",47.209008,-99.165875,"WGS84",20.2,575.5,0.3,"OK",,"2020-08-10T17:41Z","DCFS.2020.33",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3981-6870",
"49445cc6-e0af-4f4a-9ab7-ab7274e21a84","DCFS_005.tickPlot.tck","D09","DCFS","DCFS_005","distributed","grasslandHerbaceous",47.199469,-99.166739,"WGS84",20.1,564.6,0.1,"OK",,"2020-08-10T18:36Z","DCFS.2020.33",,,"drag",80,"N",,,,,"NEON.DOC.014045vK","0000-0002-8352-658X",
"a2c65c68-656e-48d3-ab10-096cfa16cdfc","DCFS_004.tickPlot.tck","D09","DCFS","DCFS_004","distributed","grasslandHerbaceous",47.171933,-99.053166,"WGS84",20.2,505.0,0.8,"OK",,"2020-08-31T14:42Z","DCFS.2020.36",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-6738-0023",
"430ae252-7d11-4996-9c07-73f3e38c26b2","DCFS_007.tickPlot.tck","D09","DCFS","DCFS_007","distributed","grasslandHerbaceous",47.162946,-99.113801,"WGS84",20.1,567.7,0.2,"OK",,"2020-08-31T15:58Z","DCFS.2020.36",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3981-6870",
"9e5f687b-e0a1-40a1-aaed-3fe3ca816069","DCFS_003.tickPlot.tck","D09","DCFS","DCFS_003","distributed","grasslandHerbaceous",47.207478,-99.183538,"WGS84",20.1,591.2,0.2,"OK",,"2020-08-31T17:19Z","DCFS.2020.36",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-6738-0023",
"053dd448-6ce2-4a00-919f-f099312bb2fe","DCFS_010.tickPlot.tck","D09","DCFS","DCFS_010","distributed","grasslandHerbaceous",47.209874,-99.173926,"WGS84",20.1,578.4,0.2,"OK",,"2020-08-31T18:17Z","DCFS.2020.36",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3981-6870",
"dbf0cd60-b348-48e7-89b0-3b03932f0517","DCFS_001.tickPlot.tck","D09","DCFS","DCFS_001","distributed","grasslandHerbaceous",47.209008,-99.165875,"WGS84",20.2,575.5,0.3,"OK",,"2020-08-31T19:12Z","DCFS.2020.36",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-6738-0023",
"f5e7ccbe-7144-46c4-aeaf-1871c1e1638c","DCFS_005.tickPlot.tck","D09","DCFS","DCFS_005","distributed","grasslandHerbaceous",47.199469,-99.166739,"WGS84",20.1,564.6,0.1,"OK",,"2020-08-31T20:07Z","DCFS.2020.36",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-3981-6870",
