uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"953a3ca6-aa6b-4421-96c3-6ed6559e400d","DELA_001.tickPlot.tck","D08","DELA","DELA_001","distributed","woodyWetlands",32.533268,-87.805432,"WGS84",20.1,24.6,0.1,"OK",,"2023-05-01T17:40Z","DELA.2023.18",,,"drag and flag",82,"N",,,,,"NEON.DOC.014045vL","0000-0002-6929-4954",
"396d686f-fa25-4071-bd10-3c65f39b2429","DELA_011.tickPlot.tck","D08","DELA","DELA_011","distributed","woodyWetlands",32.519052,-87.817592,"WGS84",20.1,29.3,0.2,"OK",,"2023-05-01T17:42Z","DELA.2023.18","DELA_011.20230501","D00000049069","drag",159,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0003-0331-5916",
"a96eaed1-d378-4e3a-ae74-92dfabb86bb7","DELA_005.tickPlot.tck","D08","DELA","DELA_005","distributed","woodyWetlands",32.524379,-87.813852,"WGS84",20.1,26.8,0.2,"OK",,"2023-05-01T18:35Z","DELA.2023.18",,,"drag and flag",158,"N",,,,,"NEON.DOC.014045vL","0000-0003-1334-3275",
"43248e6e-e78b-44be-84d2-ed4be4779bcd","DELA_008.tickPlot.tck","D08","DELA","DELA_008","distributed","woodyWetlands",32.538882,-87.814144,"WGS84",20.1,25.3,0.1,"OK",,"2023-05-01T18:45Z","DELA.2023.18",,,"drag and flag",150,"N",,,,,"NEON.DOC.014045vL","0000-0003-2461-1837",
"d1e35baa-453c-49d7-8db5-f2d9b030021b","DELA_004.tickPlot.tck","D08","DELA","DELA_004","distributed","woodyWetlands",32.531064,-87.813121,"WGS84",20.1,24.0,0.2,"OK",,"2023-05-01T19:18Z","DELA.2023.18",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0003-0331-5916",
"1b3886ac-a0b4-4379-ad33-c1ad87ff0430","DELA_014.tickPlot.tck","D08","DELA","DELA_014","distributed","evergreenForest",32.530629,-87.819372,"WGS84",20.2,32.4,0.2,"OK",,"2023-05-01T19:58Z","DELA.2023.18",,,"drag and flag",148,"N",,,,,"NEON.DOC.014045vL","0000-0003-2461-1837",
"a9e5f876-7e4b-4e3b-a893-0d3eb7932482","DELA_008.tickPlot.tck","D08","DELA","DELA_008","distributed","woodyWetlands",32.538882,-87.814144,"WGS84",20.1,25.3,0.1,"OK",,"2023-05-22T13:36Z","DELA.2023.21",,,"drag and flag",132,"N",,,,,"NEON.DOC.014045vL","0000-0001-7717-279X",
"cd46af6b-9f43-413f-a26c-c159ee8be133","DELA_011.tickPlot.tck","D08","DELA","DELA_011","distributed","woodyWetlands",32.519052,-87.817592,"WGS84",20.1,29.3,0.2,"OK",,"2023-05-22T13:53Z","DELA.2023.21",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0000-0002-7122-6408",
"5db77a8d-f941-4adf-aeaa-52a86f080ea3","DELA_004.tickPlot.tck","D08","DELA","DELA_004","distributed","woodyWetlands",32.531064,-87.813121,"WGS84",20.1,24.0,0.2,"OK",,"2023-05-22T14:25Z","DELA.2023.21",,,"drag",161,"N",,,,,"NEON.DOC.014045vL","0009-0003-7355-6149",
"815dd80d-6c6d-4859-ae19-b0c417526b24","DELA_014.tickPlot.tck","D08","DELA","DELA_014","distributed","evergreenForest",32.530629,-87.819372,"WGS84",20.2,32.4,0.2,"OK",,"2023-05-22T14:44Z","DELA.2023.21",,,"drag and flag",156,"N",,,,,"NEON.DOC.014045vL","0009-0000-1773-0614",
"1c34efd7-035a-44cd-a689-bc4d2b9e8afc","DELA_005.tickPlot.tck","D08","DELA","DELA_005","distributed","woodyWetlands",32.524379,-87.813852,"WGS84",20.1,26.8,0.2,"OK",,"2023-05-22T15:08Z","DELA.2023.21","DELA_005.20230522","D00000060757","drag and flag",152,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-7355-6149",
"77a97c5a-b0c1-4561-8f1d-8a75e87bf6d6","DELA_001.tickPlot.tck","D08","DELA","DELA_001","distributed","woodyWetlands",32.533268,-87.805432,"WGS84",20.1,24.6,0.1,"OK",,"2023-05-22T15:37Z","DELA.2023.21",,,"drag and flag",128,"N",,,,,"NEON.DOC.014045vL","0000-0002-7122-6408",
