uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"2436b2e5-518a-4a17-a817-6d6622c4f8e5","DSNY_001.tickPlot.tck","D03","DSNY","DSNY_001","distributed","woodyWetlands",28.098062,-81.418561,"WGS84",20.1,20.3,0.1,,,"2016-03-17T13:07Z","DSNY.2016.11",,,"drag and flag",162,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ecayia@neoninc.org","Hogs seen in plot - possible introduction of ticks"
"1b30a73a-593e-45c4-83c6-7c4032c70171","DSNY_006.tickPlot.tck","D03","DSNY","DSNY_006","distributed","woodyWetlands",28.093704,-81.398045,"WGS84",20.1,20.1,0.1,,,"2016-03-17T14:40Z","DSNY.2016.11",,,"drag and flag",166,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ecayia@neoninc.org",
"7e5b0c6a-b85b-4a86-9321-ded4e315f1cc","DSNY_004.tickPlot.tck","D03","DSNY","DSNY_004","distributed","woodyWetlands",28.101022,-81.399501,"WGS84",20.1,18.7,0.1,,,"2016-03-17T15:26Z","DSNY.2016.11",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ecayia@neoninc.org",
"6a21499f-25f1-4309-8b1e-b48226adbaa3","DSNY_005.tickPlot.tck","D03","DSNY","DSNY_005","distributed","woodyWetlands",28.040497,-81.394482,"WGS84",20.1,16.6,0.1,,,"2016-03-17T17:32Z","DSNY.2016.11",,,"drag and flag",164,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ecayia@neoninc.org",
"fecf2fb2-0a0c-4d2d-bbbc-d00ed383b3b2","DSNY_008.tickPlot.tck","D03","DSNY","DSNY_008","distributed","woodyWetlands",28.047337,-81.403204,"WGS84",20.1,18.8,0.1,,,"2016-03-17T18:28Z","DSNY.2016.11",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ecayia@neoninc.org",
"e3a1d1c2-d859-48de-8bc7-2e3a57c320f4","DSNY_006.tickPlot.tck","D03","DSNY","DSNY_006","distributed","woodyWetlands",28.093704,-81.398045,"WGS84",20.1,20.1,0.1,,,"2016-03-22T13:56Z","DSNY.2016.12",,,"drag and flag",155,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ecayia@neoninc.org",
"daa86058-225c-4536-a472-a8b8b44dccd2","DSNY_004.tickPlot.tck","D03","DSNY","DSNY_004","distributed","woodyWetlands",28.101022,-81.399501,"WGS84",20.1,18.7,0.1,,,"2016-03-22T14:58Z","DSNY.2016.12",,,"drag and flag",158,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","shill@battelleecology.org",
"d474a5b2-0a97-4e1f-827b-417b35f75233","DSNY_001.tickPlot.tck","D03","DSNY","DSNY_001","distributed","woodyWetlands",28.098062,-81.418561,"WGS84",20.1,20.3,0.1,,,"2016-03-22T16:18Z","DSNY.2016.12",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","shill@battelleecology.org",
"a5c4262a-49c0-4b98-878c-aa04ef2857ba","DSNY_021.tickPlot.tck","D03","DSNY","DSNY_021","distributed","pastureHay",28.053635,-81.392353,"WGS84",20.1,17.1,0.1,,,"2016-03-22T18:18Z","DSNY.2016.12",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ecayia@neoninc.org",
"240874b1-af00-4d02-ae40-6dd267c5987c","DSNY_008.tickPlot.tck","D03","DSNY","DSNY_008","distributed","woodyWetlands",28.047337,-81.403204,"WGS84",20.1,18.8,0.1,,,"2016-03-22T19:11Z","DSNY.2016.12",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ecayia@neoninc.org",
"1534f79a-576d-4c51-955e-6402d2b4282c","DSNY_005.tickPlot.tck","D03","DSNY","DSNY_005","distributed","woodyWetlands",28.040497,-81.394482,"WGS84",20.1,16.6,0.1,,,"2016-03-22T20:33Z","DSNY.2016.12",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","shill@battelleecology.org",
