uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"e0e14fd5-b26d-4bc1-b0b7-6fb29a33975e","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,"OK","OK - no known exceptions","2024-08-05T14:41Z","HARV.2024.32","HARV_001.20240805","D00000054005","drag and flag",159,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0004-0301-9767",
"270f6613-1501-408c-a59e-fd4fadc8a28a","HARV_006.tickPlot.tck","D01","HARV","HARV_006","distributed","deciduousForest",42.401928,-72.252700,"WGS84",20.3,190.8,0.5,"OK","OK - no known exceptions","2024-08-05T16:51Z","HARV.2024.32","HARV_006.20240805","D00000053961","drag and flag",161,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0004-0301-9767",
"c94c69ee-3aae-4f53-8a41-3f61ea728892","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,"OK","OK - no known exceptions","2024-08-05T18:35Z","HARV.2024.32","HARV_022.20240805","D00000054396","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0000-6684-1804",
"a1271450-0a32-4d04-a2fb-625977f50336","HARV_002.tickPlot.tck","D01","HARV","HARV_002","distributed","deciduousForest",42.477231,-72.259454,"WGS84",20.2,187.7,0.3,"OK","OK - no known exceptions","2024-08-08T14:33Z","HARV.2024.32","HARV_002.20240808","D00000077783","drag and flag",162,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0007-8272-0974",
"63ec95cc-efbc-4093-ba1e-42afcfd91781","HARV_004.tickPlot.tck","D01","HARV","HARV_004","distributed","mixedForest",42.426877,-72.227953,"WGS84",20.4,182.6,0.9,"OK","OK - no known exceptions","2024-08-08T17:03Z","HARV.2024.32","HARV_004.20240808","D00000054216","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0007-8272-0974",
"949949f4-45c1-4dc1-a2f7-3ef6664e578d","HARV_026.tickPlot.tck","D01","HARV","HARV_026","distributed","evergreenForest",42.412057,-72.246527,"WGS84",20.2,187.3,0.4,"OK","OK - no known exceptions","2024-08-08T18:20Z","HARV.2024.32","HARV_026.20240808","D00000052760","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0007-8272-0974",
"be7ceb3a-8a86-45cf-88be-046db91e344e","HARV_022.tickPlot.tck","D01","HARV","HARV_022","distributed","evergreenForest",42.435458,-72.199287,"WGS84",20.2,185.9,0.5,"OK","OK - no known exceptions","2024-08-26T13:20Z","HARV.2024.35","HARV_022.20240826","D00000037422","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-2915-5006",
"776326e8-2f09-4e71-bdf6-a13da9181ee8","HARV_001.tickPlot.tck","D01","HARV","HARV_001","distributed","deciduousForest",42.424217,-72.260096,"WGS84",20.1,202.1,0.2,"OK","OK - no known exceptions","2024-08-26T13:57Z","HARV.2024.35","HARV_001.20240826","D00000054176","drag and flag",163,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0001-8111-1914",
"9b4664b5-dcd5-4c11-98e4-bc88f974d252","HARV_006.tickPlot.tck","D01","HARV","HARV_006","distributed","deciduousForest",42.401928,-72.252700,"WGS84",20.3,190.8,0.5,"OK","OK - no known exceptions","2024-08-26T15:44Z","HARV.2024.35","HARV_006.20240826","D00000054006","drag and flag",153,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0004-0301-9767",
"98b7ef34-feff-457b-a75d-4e7b798e6a32","HARV_026.tickPlot.tck","D01","HARV","HARV_026","distributed","evergreenForest",42.412057,-72.246527,"WGS84",20.2,187.3,0.4,"location wet",,"2024-08-26T16:00Z","HARV.2024.35",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5964-2409",
"2da40c30-798c-468a-a4c7-49b36176b441","HARV_002.tickPlot.tck","D01","HARV","HARV_002","distributed","deciduousForest",42.477231,-72.259454,"WGS84",20.2,187.7,0.3,"location wet",,"2024-08-26T16:00Z","HARV.2024.35",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5964-2409",
"7ab9f9d0-0431-4f34-95ea-3d2d0f05ed64","HARV_004.tickPlot.tck","D01","HARV","HARV_004","distributed","mixedForest",42.426877,-72.227953,"WGS84",20.4,182.6,0.9,"location wet",,"2024-08-26T16:00Z","HARV.2024.35",,,,,,,,,,"NEON.DOC.014045vL","0000-0002-5964-2409",
