uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"21cbfc01-43f8-4e1c-b68e-1f1c6174cd72","KONZ_002.tickPlot.tck","D06","KONZ","KONZ_002","distributed","grasslandHerbaceous",39.118977,-96.547145,"WGS84",20.2,394.4,0.2,,,"2016-09-08T15:24Z","KONZ.2016.36","KONZ_002.20160908",,"drag and flag",160,"Y",0,5,0,"No known compromise","NEON.DOC.014045vG","ZLafaver@field-ops.org",
"0bbf5751-24fc-429b-9293-95e95203d28f","KONZ_004.tickPlot.tck","D06","KONZ","KONZ_004","distributed","grasslandHerbaceous",39.109647,-96.551369,"WGS84",20.1,371.2,0.2,,,"2016-09-08T16:30Z","KONZ.2016.36",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ZLafaver@field-ops.org",
"e6273a06-4be1-41d4-b2ca-6cd1e4fd0b2a","KONZ_007.tickPlot.tck","D06","KONZ","KONZ_007","distributed","grasslandHerbaceous",39.087937,-96.545918,"WGS84",20.2,433.4,0.3,,,"2016-09-08T17:35Z","KONZ.2016.36",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ZLafaver@field-ops.org",
"7dd69218-6ca5-4263-a136-af7a2981b09f","KONZ_001.tickPlot.tck","D06","KONZ","KONZ_001","distributed","grasslandHerbaceous",39.074113,-96.557106,"WGS84",20.1,423.7,0.2,,,"2016-09-08T18:15Z","KONZ.2016.36",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ZLafaver@field-ops.org",
"9fa5dfae-e09f-4c06-8786-5881b06dcbc9","KONZ_009.tickPlot.tck","D06","KONZ","KONZ_009","distributed","grasslandHerbaceous",39.107902,-96.584437,"WGS84",20.2,391.2,0.2,,,"2016-09-08T19:38Z","KONZ.2016.36",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","ZLafaver@field-ops.org",
"0792bfaa-b1d4-4682-886e-b9117e72fe21","KONZ_025.tickPlot.tck","D06","KONZ","KONZ_025","distributed","deciduousForest",39.103714,-96.597835,"WGS84",20.3,337.3,0.3,,,"2016-09-08T20:25Z","KONZ.2016.36","KONZ_025.20160908",,"drag",160,"Y",0,0,129,"No known compromise","NEON.DOC.014045vG","ZLafaver@field-ops.org","site-year possibly subsampled in ID lab counts"
"2536e1a4-a1dc-4fec-be59-d14a4c253b06","KONZ_002.tickPlot.tck","D06","KONZ","KONZ_002","distributed","grasslandHerbaceous",39.118977,-96.547145,"WGS84",20.2,394.4,0.2,,,"2016-09-29T13:41Z","KONZ.2016.39","KONZ_002.20160929",,"drag and flag",160,"Y",0,1,0,"No known compromise","NEON.DOC.014045vG","bsachs@field-ops.org",
"b5f1ac78-3d59-4b77-92e2-5f091f3f8f4c","KONZ_004.tickPlot.tck","D06","KONZ","KONZ_004","distributed","grasslandHerbaceous",39.109647,-96.551369,"WGS84",20.1,371.2,0.2,,,"2016-09-29T14:52Z","KONZ.2016.39",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","bsachs@field-ops.org",
"1c4eb0ee-8f50-4527-bca9-6ee265514045","KONZ_007.tickPlot.tck","D06","KONZ","KONZ_007","distributed","grasslandHerbaceous",39.087937,-96.545918,"WGS84",20.2,433.4,0.3,,,"2016-09-29T15:45Z","KONZ.2016.39",,,"drag and flag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","mhartmann@field-ops.org",
"fe32fb0b-fa0b-4b10-81c3-d0b529ee793f","KONZ_001.tickPlot.tck","D06","KONZ","KONZ_001","distributed","grasslandHerbaceous",39.074113,-96.557106,"WGS84",20.1,423.7,0.2,,,"2016-09-29T16:31Z","KONZ.2016.39",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","bsachs@field-ops.org",
"e0c865f9-8fc3-4250-a4a4-5f779467590e","KONZ_009.tickPlot.tck","D06","KONZ","KONZ_009","distributed","grasslandHerbaceous",39.107902,-96.584437,"WGS84",20.2,391.2,0.2,,,"2016-09-29T18:53Z","KONZ.2016.39",,,"drag",160,"N",0,0,0,"No known compromise","NEON.DOC.014045vG","bsachs@field-ops.org",
"3f16f30f-b3bb-4f27-a410-2ca4ef28ae40","KONZ_025.tickPlot.tck","D06","KONZ","KONZ_025","distributed","deciduousForest",39.103714,-96.597835,"WGS84",20.3,337.3,0.3,,,"2016-09-29T19:40Z","KONZ.2016.39","KONZ_025.20160929",,"drag and flag",160,"Y",0,0,1,"No known compromise","NEON.DOC.014045vG","mhartmann@field-ops.org",
