uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"1a60d2cc-3299-429d-878b-aed7bbccbc41","MLBS_003.tickPlot.tck","D07","MLBS","MLBS_003","distributed","deciduousForest",37.367225,-80.526897,"WGS84",20.2,1235.5,0.2,"OK","OK - no known exceptions","2024-07-08T20:20Z","MLBS.2024.28",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0007-7267-6228",
"9b1b1297-15c4-4d77-825c-0cae4f982c88","MLBS_002.tickPlot.tck","D07","MLBS","MLBS_002","distributed","deciduousForest",37.371702,-80.525882,"WGS84",20.1,1184.2,0.4,"OK","OK - no known exceptions","2024-07-08T21:18Z","MLBS.2024.28",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0001-7447-0561",
"459ee0f0-16bd-418a-b63c-2e8625be555d","MLBS_006.tickPlot.tck","D07","MLBS","MLBS_006","distributed","deciduousForest",37.427239,-80.562618,"WGS84",20.4,783.4,0.6,"OK","OK - no known exceptions","2024-07-09T12:48Z","MLBS.2024.28","MLBS_006.20240709","D00000111878","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0001-7447-0561",
"dbabce6f-1f6a-45a0-810c-9fb83a98f5bf","MLBS_004.tickPlot.tck","D07","MLBS","MLBS_004","distributed","deciduousForest",37.429068,-80.510287,"WGS84",20.1,888.7,0.2,"OK","OK - no known exceptions","2024-07-09T14:06Z","MLBS.2024.28","MLBS_004.20240709","D00000111866","drag and flag",155,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0007-7267-6228",
"14a7f640-8c36-4547-a46b-1be6c2e0b8e8","MLBS_005.tickPlot.tck","D07","MLBS","MLBS_005","distributed","deciduousForest",37.363063,-80.519781,"WGS84",20.1,1278.2,0.2,"OK","OK - no known exceptions","2024-07-10T12:17Z","MLBS.2024.28","MLBS_005.20240710","D00000111877","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0007-7267-6228",
"deb08164-303e-45c0-ab09-fb5b45890735","MLBS_009.tickPlot.tck","D07","MLBS","MLBS_009","distributed","deciduousForest",37.374328,-80.516562,"WGS84",20.2,1172.4,0.4,"OK","OK - no known exceptions","2024-07-10T13:51Z","MLBS.2024.28","MLBS_009.20240710","D00000111881","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0001-7447-0561",
"15d0df83-a08a-4a2a-83ea-22c18634ced3","MLBS_002.tickPlot.tck","D07","MLBS","MLBS_002","distributed","deciduousForest",37.371702,-80.525882,"WGS84",20.1,1184.2,0.4,"OK","OK - no known exceptions","2024-07-30T13:55Z","MLBS.2024.31",,,"drag and flag",159,"N",,,,,"NEON.DOC.014045vL","0000-0002-8860-3644",
"41a9a891-629b-4890-825e-27376932ef46","MLBS_003.tickPlot.tck","D07","MLBS","MLBS_003","distributed","deciduousForest",37.367225,-80.526897,"WGS84",20.2,1235.5,0.2,"OK","OK - no known exceptions","2024-07-30T17:54Z","MLBS.2024.31",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-0358-0322",
"e9e39948-1e40-4bbc-82d3-c50d4429f94d","MLBS_005.tickPlot.tck","D07","MLBS","MLBS_005","distributed","deciduousForest",37.363063,-80.519781,"WGS84",20.1,1278.2,0.2,"OK","OK - no known exceptions","2024-07-30T18:47Z","MLBS.2024.31",,,"drag and flag",153,"N",,,,,"NEON.DOC.014045vL","0000-0002-8860-3644",
"b37268a4-8345-48a7-9be0-1fbfe97e9c6f","MLBS_009.tickPlot.tck","D07","MLBS","MLBS_009","distributed","deciduousForest",37.374328,-80.516562,"WGS84",20.2,1172.4,0.4,"OK","OK - no known exceptions","2024-07-30T19:59Z","MLBS.2024.31","MLBS_009.20240730","D00000112114","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0001-8869-8172",
"bb765cc3-5588-4013-8eec-8c2534853214","MLBS_004.tickPlot.tck","D07","MLBS","MLBS_004","distributed","deciduousForest",37.429068,-80.510287,"WGS84",20.1,888.7,0.2,"OK","OK - no known exceptions","2024-07-31T12:35Z","MLBS.2024.31",,,"drag and flag",155,"N",,,,,"NEON.DOC.014045vL","0009-0002-0358-0322",
"b8e50131-fd9d-434e-a055-b65f0db31269","MLBS_006.tickPlot.tck","D07","MLBS","MLBS_006","distributed","deciduousForest",37.427239,-80.562618,"WGS84",20.4,783.4,0.6,"OK","OK - no known exceptions","2024-07-31T13:44Z","MLBS.2024.31","MLBS_006.20240731","D00000111959","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-8860-3644",
