uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"2158eb97-686e-48ef-9db6-082d00f03003","NOGP_001.tickPlot.tck","D09","NOGP","NOGP_001","distributed","grasslandHerbaceous",46.804811,-100.916048,"WGS84",20.0,530.7,0.0,,,"2019-04-09T15:47Z","NOGP.2019.15",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0001-6193-1800",
"7604acc3-ea15-429f-b7c6-1c3e989e8c93","NOGP_002.tickPlot.tck","D09","NOGP","NOGP_002","distributed","grasslandHerbaceous",46.797460,-100.910668,"WGS84",20.1,544.6,0.1,,,"2019-04-09T16:27Z","NOGP.2019.15",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-4796-606X",
"3557120d-eb64-4a84-ab7d-7fa9a076e412","NOGP_005.tickPlot.tck","D09","NOGP","NOGP_005","distributed","grasslandHerbaceous",46.787576,-100.916830,"WGS84",20.0,564.6,0.0,,,"2019-04-09T17:23Z","NOGP.2019.15",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0001-6193-1800",
"7762f369-218b-4c77-a2e7-2fc4e6211df7","NOGP_008.tickPlot.tck","D09","NOGP","NOGP_008","distributed","grasslandHerbaceous",46.783500,-100.905977,"WGS84",20.1,562.0,0.1,,,"2019-04-09T18:07Z","NOGP.2019.15",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-4796-606X",
"d185cd5d-371b-4342-8e6b-7f4de960603b","NOGP_006.tickPlot.tck","D09","NOGP","NOGP_006","distributed","grasslandHerbaceous",46.768522,-100.918874,"WGS84",20.1,588.6,0.1,,,"2019-04-09T18:50Z","NOGP.2019.15",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0001-6193-1800",
"710ae746-79ab-4fd2-afac-accdd2903322","NOGP_007.tickPlot.tck","D09","NOGP","NOGP_007","distributed","grasslandHerbaceous",46.813251,-100.903783,"WGS84",20.0,527.7,0.0,,,"2019-04-09T19:30Z","NOGP.2019.15",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-4796-606X",
"491a7bdd-9cb9-462a-bbdb-78463abafb5d","NOGP_007.tickPlot.tck","D09","NOGP","NOGP_007","distributed","grasslandHerbaceous",46.813251,-100.903783,"WGS84",20.0,527.7,0.0,,,"2019-04-30T14:40Z","NOGP.2019.18",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-0929-6659",
"f7310f22-26fc-45bf-b13e-b8cf30ef2a3b","NOGP_001.tickPlot.tck","D09","NOGP","NOGP_001","distributed","grasslandHerbaceous",46.804811,-100.916048,"WGS84",20.0,530.7,0.0,,,"2019-04-30T15:20Z","NOGP.2019.18",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-0929-6659",
"69040bf2-3117-4beb-b5e1-d42d01e2b29f","NOGP_002.tickPlot.tck","D09","NOGP","NOGP_002","distributed","grasslandHerbaceous",46.797460,-100.910668,"WGS84",20.1,544.6,0.1,,,"2019-04-30T15:59Z","NOGP.2019.18",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-0929-6659",
"6750af62-6e0c-4774-aa73-5b84203bcbd3","NOGP_008.tickPlot.tck","D09","NOGP","NOGP_008","distributed","grasslandHerbaceous",46.783500,-100.905977,"WGS84",20.1,562.0,0.1,,,"2019-04-30T17:30Z","NOGP.2019.18",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-0929-6659",
"cd6536fe-ac5a-42bf-a27a-53ddd9522bca","NOGP_006.tickPlot.tck","D09","NOGP","NOGP_006","distributed","grasslandHerbaceous",46.768522,-100.918874,"WGS84",20.1,588.6,0.1,,,"2019-04-30T18:06Z","NOGP.2019.18",,,"drag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-0929-6659",
