uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"2a7012c0-9d19-46ee-a4e7-97c29275dcb5","NOGP_001.tickPlot.tck","D09","NOGP","NOGP_001","distributed","grasslandHerbaceous",46.804811,-100.916048,"WGS84",20.0,530.7,0.0,"OK",,"2023-05-11T14:28Z","NOGP.2023.19",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-0851-5597",
"ce66e9c4-0319-4663-83a5-528a87ae255d","NOGP_002.tickPlot.tck","D09","NOGP","NOGP_002","distributed","grasslandHerbaceous",46.797460,-100.910668,"WGS84",20.1,544.6,0.1,"OK",,"2023-05-11T15:21Z","NOGP.2023.19",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0003-0035-8320",
"4b209dde-985d-4270-bd3f-6a1f4978a87b","NOGP_005.tickPlot.tck","D09","NOGP","NOGP_005","distributed","grasslandHerbaceous",46.787576,-100.916830,"WGS84",20.0,564.6,0.0,"OK",,"2023-05-11T16:23Z","NOGP.2023.19","NOGP_005.20230511","D00000121588","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0002-0851-5597",
"38cadd1f-4736-4395-bec3-868136a612cc","NOGP_006.tickPlot.tck","D09","NOGP","NOGP_006","distributed","grasslandHerbaceous",46.768522,-100.918874,"WGS84",20.1,588.6,0.1,"OK",,"2023-05-11T17:20Z","NOGP.2023.19",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0003-0035-8320",
"68fac121-79f0-4cc9-81ab-2ad32f5e67e9","NOGP_008.tickPlot.tck","D09","NOGP","NOGP_008","distributed","grasslandHerbaceous",46.783500,-100.905977,"WGS84",20.1,562.0,0.1,"OK",,"2023-05-11T18:03Z","NOGP.2023.19",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0003-0035-8320",
"6419ec58-f48b-4c44-a1eb-15d219e50c9d","NOGP_007.tickPlot.tck","D09","NOGP","NOGP_007","distributed","grasslandHerbaceous",46.813251,-100.903783,"WGS84",20.0,527.7,0.0,"OK",,"2023-05-11T18:40Z","NOGP.2023.19",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0003-0035-8320",
"78435d79-b9e2-4dc3-9c15-bb5b98ab467e","NOGP_001.tickPlot.tck","D09","NOGP","NOGP_001","distributed","grasslandHerbaceous",46.804811,-100.916048,"WGS84",20.0,530.7,0.0,"OK",,"2023-05-29T19:26Z","NOGP.2023.22",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0003-7923-9435",
"e8809cee-d6c0-4ef3-98a0-bb8a190795f7","NOGP_002.tickPlot.tck","D09","NOGP","NOGP_002","distributed","grasslandHerbaceous",46.797460,-100.910668,"WGS84",20.1,544.6,0.1,"OK",,"2023-05-29T20:03Z","NOGP.2023.22",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0003-7923-9435",
"2b030313-1e82-433c-ba77-ed3b1e73651b","NOGP_005.tickPlot.tck","D09","NOGP","NOGP_005","distributed","grasslandHerbaceous",46.787576,-100.916830,"WGS84",20.0,564.6,0.0,"OK",,"2023-05-29T20:55Z","NOGP.2023.22",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-0851-5597",
"b539654c-4df1-4473-8d22-1b38c3b9c92e","NOGP_006.tickPlot.tck","D09","NOGP","NOGP_006","distributed","grasslandHerbaceous",46.768522,-100.918874,"WGS84",20.1,588.6,0.1,"OK",,"2023-05-30T18:22Z","NOGP.2023.22",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0003-7923-9435",
"2eca6576-564a-488e-bc1c-2f8e030ecf86","NOGP_007.tickPlot.tck","D09","NOGP","NOGP_007","distributed","grasslandHerbaceous",46.813251,-100.903783,"WGS84",20.0,527.7,0.0,"OK",,"2023-05-30T18:57Z","NOGP.2023.22",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0002-0851-5597",
"c3d318a6-39a8-437e-9971-64e7188c155c","NOGP_008.tickPlot.tck","D09","NOGP","NOGP_008","distributed","grasslandHerbaceous",46.783500,-100.905977,"WGS84",20.1,562.0,0.1,"OK",,"2023-05-30T19:27Z","NOGP.2023.22",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0003-7923-9435",
