uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"ef717f39-b4cf-4850-8cac-ef091ce330b5","OAES_005.tickPlot.tck","D11","OAES","OAES_005","distributed","grasslandHerbaceous",35.402926,-99.080346,"WGS84",20.1,509.4,0.1,"OK",,"2022-08-02T13:33Z","OAES.2022.31",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0000-0000-0068-7943",
"d38ad1df-4245-4f37-b1c2-be7261e4d9bb","OAES_004.tickPlot.tck","D11","OAES","OAES_004","distributed","grasslandHerbaceous",35.411159,-99.084234,"WGS84",20.1,507.6,0.1,"OK",,"2022-08-02T14:12Z","OAES.2022.31",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0000-0000-0068-7943",
"01017c9b-a933-45b7-a850-706e622fb41d","OAES_021.tickPlot.tck","D11","OAES","OAES_021","distributed","shrubScrub",35.413211,-99.074301,"WGS84",20.1,501.7,0.1,"OK",,"2022-08-02T15:04Z","OAES.2022.31","OAES_021.20220802","A00000273208","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0000-0068-7943",
"1ec96e5b-8c41-41b5-b5a5-fd4db29b2b46","OAES_003.tickPlot.tck","D11","OAES","OAES_003","distributed","grasslandHerbaceous",35.412134,-99.068027,"WGS84",20.2,512.2,0.2,"OK",,"2022-08-02T16:09Z","OAES.2022.31",,,"drag",130,"N",,,,,"NEON.DOC.014045vL","0000-0002-4194-7642",
"6b126540-11f1-4b50-94b7-ef8572ad82f4","OAES_007.tickPlot.tck","D11","OAES","OAES_007","distributed","shrubScrub",35.421328,-99.057210,"WGS84",20.1,521.6,0.1,"OK",,"2022-08-02T16:45Z","OAES.2022.31",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0000-0002-4194-7642",
"4dbab624-18eb-49e0-bc2b-937d65d833b9","OAES_008.tickPlot.tck","D11","OAES","OAES_008","distributed","grasslandHerbaceous",35.394019,-99.063159,"WGS84",20.1,492.6,0.1,"OK",,"2022-08-02T17:25Z","OAES.2022.31",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0002-4194-7642",
"3d125a0e-7a50-4e88-9df0-b6e3312a0302","OAES_008.tickPlot.tck","D11","OAES","OAES_008","distributed","grasslandHerbaceous",35.394019,-99.063159,"WGS84",20.1,492.6,0.1,"OK",,"2022-08-23T15:13Z","OAES.2022.34",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0001-7985-6626",
"cfcc6e90-b2d1-4671-bc2b-22087756025e","OAES_007.tickPlot.tck","D11","OAES","OAES_007","distributed","shrubScrub",35.421328,-99.057210,"WGS84",20.1,521.6,0.1,"OK",,"2022-08-23T16:10Z","OAES.2022.34",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0001-8237-5292",
"b25f8a9b-e3f1-4886-8ed8-60c6447401cb","OAES_003.tickPlot.tck","D11","OAES","OAES_003","distributed","grasslandHerbaceous",35.412134,-99.068027,"WGS84",20.2,512.2,0.2,"OK",,"2022-08-23T17:09Z","OAES.2022.34",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0001-8237-5292",
"8b71753e-6f3b-4827-b2a6-31c77b3b1653","OAES_021.tickPlot.tck","D11","OAES","OAES_021","distributed","shrubScrub",35.413211,-99.074301,"WGS84",20.1,501.7,0.1,"OK",,"2022-08-23T17:53Z","OAES.2022.34","OAES_021.20220823","A00000273188","drag and flag",165,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0001-8237-5292",
"d56935b7-6468-4911-abac-3e7f5028809f","OAES_004.tickPlot.tck","D11","OAES","OAES_004","distributed","grasslandHerbaceous",35.411159,-99.084234,"WGS84",20.1,507.6,0.1,"OK",,"2022-08-23T19:15Z","OAES.2022.34",,,"flag",165,"N",,,,,"NEON.DOC.014045vL","0000-0001-8237-5292",
"5b90ba17-236a-43e9-b2c0-dba1c4be599c","OAES_005.tickPlot.tck","D11","OAES","OAES_005","distributed","grasslandHerbaceous",35.402926,-99.080346,"WGS84",20.1,509.4,0.1,"OK",,"2022-08-23T20:10Z","OAES.2022.34",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0001-8237-5292",
