uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"1e67c719-f1a0-45fe-a0d7-24f4496ef037","ONAQ_011.tickPlot.tck","D15","ONAQ","ONAQ_011","distributed","shrubScrub",40.152051,-112.455478,"WGS84",20.1,1617.0,0.1,,,"2017-06-08T13:36Z","ONAQ.2017.24",,,"drag and flag",169,"N",0,0,0,,"NEON.DOC.014045vH","cpeterson@battelleecology.org",
"31ac6619-5d82-4e6f-ac0a-ff0f46b3cdc4","ONAQ_009.tickPlot.tck","D15","ONAQ","ONAQ_009","distributed","shrubScrub",40.160581,-112.469376,"WGS84",20.1,1668.4,0.1,,,"2017-06-08T15:05Z","ONAQ.2017.24",,,"drag and flag",160,"N",0,0,0,,"NEON.DOC.014045vH","hoswald@neoninc.org",
"e8b92fdf-6456-44e1-8c41-88a323ad4405","ONAQ_004.tickPlot.tck","D15","ONAQ","ONAQ_004","distributed","shrubScrub",40.187291,-112.471870,"WGS84",,1710.4,,,,"2017-06-08T16:28Z","ONAQ.2017.24",,,"drag and flag",160,"N",0,0,0,,"NEON.DOC.014045vH","cpeterson@battelleecology.org",
"cccce02a-2fca-452d-b691-7c6611f779c9","ONAQ_023.tickPlot.tck","D15","ONAQ","ONAQ_023","distributed","evergreenForest",40.193984,-112.507205,"WGS84",20.2,1860.4,0.2,,,"2017-06-08T17:33Z","ONAQ.2017.24",,,"drag and flag",169,"N",0,0,0,,"NEON.DOC.014045vH","cpeterson@battelleecology.org",
"d290a301-7135-4ea9-a990-462b0733c307","ONAQ_016.tickPlot.tck","D15","ONAQ","ONAQ_016","distributed","shrubScrub",40.175448,-112.444448,"WGS84",20.1,1635.0,0.1,,,"2017-06-08T18:37Z","ONAQ.2017.24",,,"drag and flag",161,"N",0,0,0,,"NEON.DOC.014045vH","hoswald@neoninc.org",
"283e934c-abee-49e6-a43c-3a3a71f47b94","ONAQ_005.tickPlot.tck","D15","ONAQ","ONAQ_005","distributed","shrubScrub",40.181928,-112.432743,"WGS84",20.3,1616.7,0.4,,,"2017-06-08T19:27Z","ONAQ.2017.24",,,"drag and flag",160,"N",0,0,0,,"NEON.DOC.014045vH","hoswald@neoninc.org",
"a41943b4-5564-4313-a296-002676209eb2","ONAQ_011.tickPlot.tck","D15","ONAQ","ONAQ_011","distributed","shrubScrub",40.152051,-112.455478,"WGS84",20.1,1617.0,0.1,,,"2017-06-29T13:56Z","ONAQ.2017.27",,,"drag and flag",166,"N",0,0,0,,"NEON.DOC.014045vH","Zgordon@battelleecology.org",
"8ba05144-c346-42c1-8477-738d4eea02fb","ONAQ_009.tickPlot.tck","D15","ONAQ","ONAQ_009","distributed","shrubScrub",40.160581,-112.469376,"WGS84",20.1,1668.4,0.1,,,"2017-06-29T15:16Z","ONAQ.2017.27",,,"drag and flag",160,"N",0,0,0,,"NEON.DOC.014045vH","Zgordon@battelleecology.org",
"d7c5038b-f2d8-4758-8dd9-df122bcef680","ONAQ_004.tickPlot.tck","D15","ONAQ","ONAQ_004","distributed","shrubScrub",40.187291,-112.471870,"WGS84",,1710.4,,,,"2017-06-29T16:26Z","ONAQ.2017.27",,,"drag and flag",162,"N",0,0,0,,"NEON.DOC.014045vH","hoswald@neoninc.org",
"63bb776c-f9df-4641-9137-06a8e96eaf01","ONAQ_023.tickPlot.tck","D15","ONAQ","ONAQ_023","distributed","evergreenForest",40.193984,-112.507205,"WGS84",20.2,1860.4,0.2,,,"2017-06-29T17:21Z","ONAQ.2017.27",,,"drag and flag",174,"N",0,0,0,,"NEON.DOC.014045vH","hoswald@neoninc.org",
"ff1c061d-63a8-4d00-a1a9-99e986248898","ONAQ_016.tickPlot.tck","D15","ONAQ","ONAQ_016","distributed","shrubScrub",40.175448,-112.444448,"WGS84",20.1,1635.0,0.1,,,"2017-06-29T18:22Z","ONAQ.2017.27",,,"drag and flag",160,"N",0,0,0,,"NEON.DOC.014045vH","hoswald@neoninc.org",
"592844ba-4cbb-495e-80c8-8b8a1236f866","ONAQ_005.tickPlot.tck","D15","ONAQ","ONAQ_005","distributed","shrubScrub",40.181928,-112.432743,"WGS84",20.3,1616.7,0.4,,,"2017-06-29T19:11Z","ONAQ.2017.27",,,"drag and flag",161,"N",0,0,0,,"NEON.DOC.014045vH","hoswald@neoninc.org",
