uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"abe28417-75f5-4f12-9062-63e918ba5244","ORNL_002.tickPlot.tck","D07","ORNL","ORNL_002","distributed","deciduousForest",35.983081,-84.211655,"WGS84",20.2,334.7,0.3,,,"2017-05-03T14:15Z","ORNL.2017.19","ORNL_002.20170503",,"drag",165,"Y",2,14,0,"No known compromise","NEON.DOC.014045vH","jmonroe@battelleecology.org",
"741c3a63-72e0-469b-89f7-c1428a23b4ed","ORNL_009.tickPlot.tck","D07","ORNL","ORNL_009","distributed","deciduousForest",35.974904,-84.226626,"WGS84",20.2,336.2,0.2,,,"2017-05-03T15:21Z","ORNL.2017.19","ORNL_009.20170503",,"drag and flag",166,"Y",3,5,0,"No known compromise","NEON.DOC.014045vH","mcumberland@battelleecology.org",
"0f33d5a5-18fe-4e5b-953f-2f0ffc3b582a","ORNL_040.tickPlot.tck","D07","ORNL","ORNL_040","distributed","evergreenForest",35.975522,-84.305103,"WGS84",20.2,273.8,0.2,,,"2017-05-03T15:31Z","ORNL.2017.19","ORNL_040.20170503",,"drag and flag",165,"Y",1,35,0,"No known compromise","NEON.DOC.014045vH","vcox@battelleecology.org",
"2fe004ed-4cfb-4b8e-8d77-32403ac0211d","ORNL_003.tickPlot.tck","D07","ORNL","ORNL_003","distributed","deciduousForest",35.967016,-84.229854,"WGS84",20.2,270.6,0.4,,,"2017-05-03T16:32Z","ORNL.2017.19","ORNL_003.20170503",,"drag and flag",168,"Y",2,7,0,"No known compromise","NEON.DOC.014045vH","mcumberland@battelleecology.org","1 adult dropped; 1 adult in tube"
"4b305a48-347c-4e84-ab61-3d87a9fcb53d","ORNL_008.tickPlot.tck","D07","ORNL","ORNL_008","distributed","deciduousForest",35.933531,-84.334026,"WGS84",20.2,321.7,0.4,,,"2017-05-03T16:57Z","ORNL.2017.19","ORNL_008.20170503",,"drag and flag",161,"Y",1,13,0,"No known compromise","NEON.DOC.014045vH","aferchaud@battelleecology.org",
"b501f8a0-fcd1-4251-a8d6-d7b56a345a6d","ORNL_007.tickPlot.tck","D07","ORNL","ORNL_007","distributed","deciduousForest",35.925842,-84.328415,"WGS84",20.2,277.7,0.2,,,"2017-05-03T18:05Z","ORNL.2017.19","ORNL_007.20170503",,"drag and flag",162,"Y",1,10,0,"No known compromise","NEON.DOC.014045vH","vcox@battelleecology.org",
"ab74f6d4-8414-4a7c-96be-7569734adfe2","ORNL_002.tickPlot.tck","D07","ORNL","ORNL_002","distributed","deciduousForest",35.983081,-84.211655,"WGS84",20.2,334.7,0.3,,,"2017-05-26T14:55Z","ORNL.2017.22","ORNL_002.20170526",,"drag",166,"Y",5,21,0,"No known compromise","NEON.DOC.014045vG","jmonroe@battelleecology.org",
"04f6cffc-9449-403d-9ca4-bf6064d590db","ORNL_040.tickPlot.tck","D07","ORNL","ORNL_040","distributed","evergreenForest",35.975522,-84.305103,"WGS84",20.2,273.8,0.2,,,"2017-05-26T15:49Z","ORNL.2017.22","ORNL_040.20170526",,"drag and flag",160,"Y",0,31,2,"No known compromise","NEON.DOC.014045vH","lopie@battelleecology.org",
"af4f74c9-4030-4bdc-982a-0fd7b3714dd0","ORNL_009.tickPlot.tck","D07","ORNL","ORNL_009","distributed","deciduousForest",35.974904,-84.226626,"WGS84",20.2,336.2,0.2,,,"2017-05-26T16:11Z","ORNL.2017.22","ORNL_009.20170526",,"drag and flag",164,"Y",1,4,0,"No known compromise","NEON.DOC.014045vG","Ccoward@battelleecology.org","Drag cloth torn due to briars - 10 sq cm"
"cdc57ca3-2d6d-4821-9766-0dfd9538370b","ORNL_003.tickPlot.tck","D07","ORNL","ORNL_003","distributed","deciduousForest",35.967016,-84.229854,"WGS84",20.2,270.6,0.4,,,"2017-05-26T17:14Z","ORNL.2017.22","ORNL_003.20170526",,"drag and flag",168,"Y",0,8,0,"No known compromise","NEON.DOC.014045vG","Khanschke@field-ops.org","Small tear in drag cloth from last plot - 10 sq cm"
"c9721098-9560-4f57-9df3-7fa3560e21a1","ORNL_008.tickPlot.tck","D07","ORNL","ORNL_008","distributed","deciduousForest",35.933531,-84.334026,"WGS84",20.2,321.7,0.4,,,"2017-05-26T17:25Z","ORNL.2017.22","ORNL_008.20170526",,"drag and flag",166,"Y",2,12,2,"No known compromise","NEON.DOC.014045vH","sebeler@battelleecology.org",
"50b36a8d-960d-4f39-a767-e328c00fe377","ORNL_007.tickPlot.tck","D07","ORNL","ORNL_007","distributed","deciduousForest",35.925842,-84.328415,"WGS84",20.2,277.7,0.2,,,"2017-05-26T19:11Z","ORNL.2017.22","ORNL_007.20170526",,"drag and flag",160,"Y",3,6,2,"No known compromise","NEON.DOC.014045vH","sebeler@battelleecology.org",
