uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"ab8f94a4-a2a4-4173-81cc-89bf351f8b74","SERC_023.tickPlot.tck","D02","SERC","SERC_023","distributed","cultivatedCrops",38.873978,-76.535923,"WGS84",20.1,6.9,0.1,"OK","OK - no known exceptions","2025-08-04T14:35Z","SERC.2025.32",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0001-2282-476X",
"84322fc3-98de-4ab5-bab7-c546bb04648e","SERC_002.tickPlot.tck","D02","SERC","SERC_002","distributed","deciduousForest",38.896257,-76.558180,"WGS84",20.1,17.3,0.1,"OK","OK - no known exceptions","2025-08-04T14:44Z","SERC.2025.32","SERC_002.20250804","A00000370848","drag",154,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-8450-5267",
"d4754128-f604-4ad5-b347-2e84706f5244","SERC_001.tickPlot.tck","D02","SERC","SERC_001","distributed","deciduousForest",38.868184,-76.535301,"WGS84",20.2,2.5,0.2,"OK","OK - no known exceptions","2025-08-04T15:35Z","SERC.2025.32","SERC_001.20250804","A00000371555","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-0301-7234",
"b9ae2b56-7e88-4c0b-a1ad-8065f353f458","SERC_006.tickPlot.tck","D02","SERC","SERC_006","distributed","deciduousForest",38.880025,-76.548383,"WGS84",20.3,3.0,0.5,"OK","OK - no known exceptions","2025-08-04T17:34Z","SERC.2025.32","SERC_006.20250804","A00000474453","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-8450-5267",
"fa6a6a90-0c6e-4442-ada4-0779b27fdb8a","SERC_012.tickPlot.tck","D02","SERC","SERC_012","distributed","deciduousForest",38.880016,-76.561641,"WGS84",20.1,19.3,0.1,"OK","OK - no known exceptions","2025-08-04T17:53Z","SERC.2025.32","SERC_012.20250804","A00000474181","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-0301-7234",
"51fb5359-d11f-4a7b-b36d-9c4856a2a01d","SERC_005.tickPlot.tck","D02","SERC","SERC_005","distributed","deciduousForest",38.894058,-76.546297,"WGS84",20.2,4.9,0.2,"OK","OK - no known exceptions","2025-08-04T18:45Z","SERC.2025.32","SERC_005.20250804","A00000371539","drag",159,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-8450-5267",
"a4cb8fe2-679b-4cc7-a035-b194a4f5da88","SERC_002.tickPlot.tck","D02","SERC","SERC_002","distributed","deciduousForest",38.896257,-76.558180,"WGS84",20.1,17.3,0.1,"OK","OK - no known exceptions","2025-08-27T14:04Z","SERC.2025.35","SERC_002.20250827","A00000371540","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0007-5948-2613",
"a0f12a33-4601-4a84-958c-80b73e3356de","SERC_023.tickPlot.tck","D02","SERC","SERC_023","distributed","cultivatedCrops",38.873978,-76.535923,"WGS84",20.1,6.9,0.1,"OK","OK - no known exceptions","2025-08-27T14:35Z","SERC.2025.35",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0009-0008-0301-7234",
"d2311b3c-4b15-44f5-b260-78b8d358611c","SERC_001.tickPlot.tck","D02","SERC","SERC_001","distributed","deciduousForest",38.868184,-76.535301,"WGS84",20.2,2.5,0.2,"OK","OK - no known exceptions","2025-08-27T15:31Z","SERC.2025.35","SERC_001.20250827","A00000475254","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0008-0301-7234",
"94094cbb-a142-44fc-a83a-716c4bb2f3b4","SERC_005.tickPlot.tck","D02","SERC","SERC_005","distributed","deciduousForest",38.894058,-76.546297,"WGS84",20.2,4.9,0.2,"OK","OK - no known exceptions","2025-08-27T16:40Z","SERC.2025.35","SERC_005.20250827","A00000474177","drag",150,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0007-5948-2613",
"414c0cb1-70ac-4992-8b8c-3ef14aff5ac0","SERC_006.tickPlot.tck","D02","SERC","SERC_006","distributed","deciduousForest",38.880025,-76.548383,"WGS84",20.3,3.0,0.5,"OK","OK - no known exceptions","2025-08-27T17:41Z","SERC.2025.35","SERC_006.20250827","A00000475257","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0007-5948-2613",
"f6e626ac-d4a7-41d1-9077-4c868cb40816","SERC_012.tickPlot.tck","D02","SERC","SERC_012","distributed","deciduousForest",38.880016,-76.561641,"WGS84",20.1,19.3,0.1,"OK","OK - no known exceptions","2025-08-27T18:27Z","SERC.2025.35","SERC_012.20250827","A00000475222","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0003-8450-5267",
