uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"605ef7d6-dba0-4c7d-8c3d-466aa95dc671","TEAK_002.tickPlot.tck","D17","TEAK","TEAK_002","distributed","evergreenForest",36.978440,-119.034013,"WGS84",20.2,2336.8,0.2,"logistical",,"2021-08-03T19:00Z","TEAK.2021.32",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-6242-9561","Technician illness"
"f3379d15-3400-435c-b389-ce134f9c3cda","TEAK_025.tickPlot.tck","D17","TEAK","TEAK_025","distributed","shrubScrub",36.988723,-119.025013,"WGS84",20.1,2316.6,0.1,"logistical",,"2021-08-03T19:00Z","TEAK.2021.32",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-6242-9561","Technician illness"
"f03583a1-1f91-4a13-b3db-22aaaae0d226","TEAK_006.tickPlot.tck","D17","TEAK","TEAK_006","distributed","evergreenForest",36.976458,-119.058441,"WGS84",20.1,2444.3,0.1,"logistical",,"2021-08-03T19:00Z","TEAK.2021.32",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-6242-9561","Technician illness"
"a496a58e-3499-456c-8fe1-8bb70e11055c","TEAK_001.tickPlot.tck","D17","TEAK","TEAK_001","distributed","evergreenForest",36.975570,-119.017334,"WGS84",20.4,2144.7,1.2,"logistical",,"2021-08-04T19:00Z","TEAK.2021.32",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-6242-9561","Technician illness"
"2066c057-e73b-4d39-a165-172e3f664b61","TEAK_005.tickPlot.tck","D17","TEAK","TEAK_005","distributed","evergreenForest",37.057019,-118.989388,"WGS84",20.3,2712.8,0.3,"logistical",,"2021-08-04T19:00Z","TEAK.2021.32",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-6242-9561","Technician illness"
"bc54ff82-cdc9-4217-aff9-c8f93b776bc9","TEAK_003.tickPlot.tck","D17","TEAK","TEAK_003","distributed","evergreenForest",37.012434,-119.012175,"WGS84",21.0,2205.5,1.4,"logistical",,"2021-08-04T19:00Z","TEAK.2021.32",,,,,,,,,,"NEON.DOC.014045vK","0000-0002-6242-9561","Technician illness"
"6dcb329b-6fcf-457a-8289-9a587eb73b61","TEAK_006.tickPlot.tck","D17","TEAK","TEAK_006","distributed","evergreenForest",36.976458,-119.058441,"WGS84",20.1,2444.3,0.1,"OK",,"2021-08-17T19:44Z","TEAK.2021.34",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-2580-6989",
"6c04bb3f-22d4-4650-9b6d-a00a417986c9","TEAK_002.tickPlot.tck","D17","TEAK","TEAK_002","distributed","evergreenForest",36.978440,-119.034013,"WGS84",20.2,2336.8,0.2,"OK",,"2021-08-17T20:58Z","TEAK.2021.34",,,"drag and flag",100,"N",,,,,"NEON.DOC.014045vK","0000-0002-2580-6989",
"a4fe4806-77c6-4263-8dcb-4e22778fb3f1","TEAK_025.tickPlot.tck","D17","TEAK","TEAK_025","distributed","shrubScrub",36.988723,-119.025013,"WGS84",20.1,2316.6,0.1,"OK",,"2021-08-17T22:11Z","TEAK.2021.34",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-2580-6989",
"a30bcae8-2fcb-4ab3-92d7-b8d39170ef07","TEAK_005.tickPlot.tck","D17","TEAK","TEAK_005","distributed","evergreenForest",37.057019,-118.989388,"WGS84",20.3,2712.8,0.3,"OK",,"2021-08-18T15:49Z","TEAK.2021.34",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-2580-6989",
"d7e10171-02b7-490f-8395-cc30449d78b5","TEAK_003.tickPlot.tck","D17","TEAK","TEAK_003","distributed","evergreenForest",37.012434,-119.012175,"WGS84",21.0,2205.5,1.4,"OK",,"2021-08-18T17:25Z","TEAK.2021.34",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vK","0000-0002-2580-6989",
"4d6fdbc7-ba14-4971-825a-51686de5f0c7","TEAK_001.tickPlot.tck","D17","TEAK","TEAK_001","distributed","evergreenForest",36.975570,-119.017334,"WGS84",20.4,2144.7,1.2,"OK",,"2021-08-18T20:06Z","TEAK.2021.34",,,"drag and flag",140,"N",,,,,"NEON.DOC.014045vK","0000-0002-2580-6989",
