uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"cf42f3d2-b1af-4bc7-a0a2-be9df24a5cd8","UKFS_030.tickPlot.tck","D06","UKFS","UKFS_030","distributed","grasslandHerbaceous",39.045116,-95.213433,"WGS84",20.1,321.2,0.1,"OK",,"2022-05-03T15:21Z","UKFS.2022.18",,,"drag",160,"N",,,,,"NEON.DOC.014045vL","0000-0002-2135-1091",
"da820e92-0167-430c-ab80-6a0115c65cf7","UKFS_018.tickPlot.tck","D06","UKFS","UKFS_018","distributed","grasslandHerbaceous",39.053205,-95.194658,"WGS84",20.1,324.8,0.1,"OK",,"2022-05-03T15:38Z","UKFS.2022.18",,,"drag",80,"N",,,,,"NEON.DOC.014045vL","0000-0002-9241-5582",
"674e95a2-593d-48cb-9a6c-1acb88f24897","UKFS_002.tickPlot.tck","D06","UKFS","UKFS_002","distributed","deciduousForest",39.045893,-95.207026,"WGS84",20.1,315.3,0.1,"OK",,"2022-05-03T15:52Z","UKFS.2022.18","UKFS_002.20220503","A00000211729","drag and flag",163,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-9557-1628",
"0a637f75-91f3-4ab2-a69b-a4bcc3ee35f9","UKFS_003.tickPlot.tck","D06","UKFS","UKFS_003","distributed","deciduousForest",39.053769,-95.187084,"WGS84",20.1,322.4,0.2,"OK",,"2022-05-03T16:20Z","UKFS.2022.18","UKFS_003.20220503","B00000084394","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-9241-5582",
"fb3be99f-794e-4313-8b09-23c54b6e0b1b","UKFS_004.tickPlot.tck","D06","UKFS","UKFS_004","distributed","deciduousForest",39.043188,-95.201000,"WGS84",20.1,319.4,0.1,"OK",,"2022-05-03T16:54Z","UKFS.2022.18","UKFS_004.20220503","A00000318518","drag and flag",165,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-2135-1091",
"de4e8557-70f2-4d6d-9960-3a6151f8a871","UKFS_001.tickPlot.tck","D06","UKFS","UKFS_001","distributed","deciduousForest",39.037238,-95.198630,"WGS84",20.1,321.9,0.1,"OK",,"2022-05-03T18:16Z","UKFS.2022.18","UKFS_001.20220503","B00000084399","drag and flag",170,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-1491-0369",
"829d50d0-692e-482d-b835-0656c26e756a","UKFS_030.tickPlot.tck","D06","UKFS","UKFS_030","distributed","grasslandHerbaceous",39.045116,-95.213433,"WGS84",20.1,321.2,0.1,"OK",,"2022-05-16T15:23Z","UKFS.2022.20","UKFS_030.20220516","B00000084489","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-2112-9159",
"f0959714-f21a-494e-8ef2-7af275912161","UKFS_002.tickPlot.tck","D06","UKFS","UKFS_002","distributed","deciduousForest",39.045893,-95.207026,"WGS84",20.1,315.3,0.1,"OK",,"2022-05-16T15:53Z","UKFS.2022.20","UKFS_002.20220516","B00000084519","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-2112-9159",
"0fd0abd8-3082-4742-8748-164532811c9c","UKFS_004.tickPlot.tck","D06","UKFS","UKFS_004","distributed","deciduousForest",39.043188,-95.201000,"WGS84",20.1,319.4,0.1,"OK",,"2022-05-16T16:57Z","UKFS.2022.20","UKFS_004.20220516","B00000084530","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0003-2131-612X",
"4ff5b4cc-2eb9-42c9-b05c-f600c67d5d0f","UKFS_003.tickPlot.tck","D06","UKFS","UKFS_003","distributed","deciduousForest",39.053769,-95.187084,"WGS84",20.1,322.4,0.2,"OK",,"2022-05-17T16:44Z","UKFS.2022.20","UKFS_003.20220517","A00000319948","drag and flag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-1491-0369",
"cd12eb50-d061-418d-b41c-2090f55c1713","UKFS_001.tickPlot.tck","D06","UKFS","UKFS_001","distributed","deciduousForest",39.037238,-95.198630,"WGS84",20.1,321.9,0.1,"OK",,"2022-05-17T19:04Z","UKFS.2022.20","UKFS_001.20220517","A00000319944","drag and flag",170,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0002-2112-9159",
"b618ac43-01f1-4587-aae9-fa5672578773","UKFS_018.tickPlot.tck","D06","UKFS","UKFS_018","distributed","grasslandHerbaceous",39.053205,-95.194658,"WGS84",20.1,324.8,0.1,"OK",,"2022-05-18T15:25Z","UKFS.2022.20","UKFS_018.20220518","A00000318520","drag",160,"Y",,,,"No known compromise","NEON.DOC.014045vL","0000-0003-2131-612X",
