uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"78a0965a-0409-4fba-826a-7f2514337171","UNDE_017.tickPlot.tck","D05","UNDE","UNDE_017","distributed","mixedForest",46.236736,-89.497054,"WGS84",20.1,518.8,0.2,"OK","OK - no known exceptions","2024-05-06T15:18Z","UNDE.2024.19",,,"drag and flag",157,"N",,,,,"NEON.DOC.014045vL","0009-0008-2811-4380",
"4ad7db6c-b5a1-45c4-94e9-ea9fe978b3f1","UNDE_011.tickPlot.tck","D05","UNDE","UNDE_011","distributed","woodyWetlands",46.213935,-89.505950,"WGS84",20.3,507.7,0.4,"location flooded",,"2024-05-06T17:00Z","UNDE.2024.19",,,,,,,,,,"NEON.DOC.014045vL","0009-0008-2811-4380",
"fa6c0ba6-af2e-4a52-948c-914012b5baf5","UNDE_022.tickPlot.tck","D05","UNDE","UNDE_022","distributed","woodyWetlands",46.231585,-89.568039,"WGS84",20.1,509.0,0.1,"location flooded",,"2024-05-06T17:00Z","UNDE.2024.19",,,,,,,,,,"NEON.DOC.014045vL","0009-0002-7875-020X",
"9ee1f3cc-7c6e-4fcb-bfd4-0bdd868120dd","UNDE_002.tickPlot.tck","D05","UNDE","UNDE_002","distributed","woodyWetlands",46.242285,-89.543255,"WGS84",20.3,506.2,0.4,"location flooded",,"2024-05-06T17:00Z","UNDE.2024.19",,,,,,,,,,"NEON.DOC.014045vL","0009-0008-2811-4380",
"28c1724c-b1c2-457a-bb15-99ccd5d12ecf","UNDE_013.tickPlot.tck","D05","UNDE","UNDE_013","distributed","deciduousForest",46.227786,-89.535179,"WGS84",20.1,509.2,0.2,"OK","OK - no known exceptions","2024-05-06T17:18Z","UNDE.2024.19",,,"drag and flag",147,"N",,,,,"NEON.DOC.014045vL","0009-0002-7875-020X",
"b489e4bb-7a2b-4d31-9ab8-5b1296e9ec92","UNDE_019.tickPlot.tck","D05","UNDE","UNDE_019","distributed","deciduousForest",46.257429,-89.542053,"WGS84",20.1,517.8,0.2,"OK","OK - no known exceptions","2024-05-06T19:27Z","UNDE.2024.19",,,"drag and flag",153,"N",,,,,"NEON.DOC.014045vL","0009-0008-2811-4380",
"aeaf78d9-3a10-4bb4-b184-d49a8f78478f","UNDE_017.tickPlot.tck","D05","UNDE","UNDE_017","distributed","mixedForest",46.236736,-89.497054,"WGS84",20.1,518.8,0.2,"OK","OK - no known exceptions","2024-05-23T16:42Z","UNDE.2024.21","UNDE_017.20240523","D00000209041","drag and flag",159,"Y",,,,"No known compromise","NEON.DOC.014045vL","0009-0009-5636-6419",
"954cd8f0-e045-4a2b-a12d-18ce9dfb5cab","UNDE_011.tickPlot.tck","D05","UNDE","UNDE_011","distributed","woodyWetlands",46.213935,-89.505950,"WGS84",20.3,507.7,0.4,"location flooded",,"2024-05-23T17:00Z","UNDE.2024.21",,,,,,,,,,"NEON.DOC.014045vL","0009-0001-5601-8424",
"c8cb155f-87b6-438b-b08f-2ef0c767da36","UNDE_022.tickPlot.tck","D05","UNDE","UNDE_022","distributed","woodyWetlands",46.231585,-89.568039,"WGS84",20.1,509.0,0.1,"logistical",,"2024-05-23T17:00Z","UNDE.2024.21",,,,,,,,,,"NEON.DOC.014045vL","0009-0009-5636-6419",
"f687d0d0-c0c7-46c0-943a-c0a12df0ce37","UNDE_013.tickPlot.tck","D05","UNDE","UNDE_013","distributed","deciduousForest",46.227786,-89.535179,"WGS84",20.1,509.2,0.2,"OK","OK - no known exceptions","2024-05-23T17:38Z","UNDE.2024.21",,,"drag and flag",159,"N",,,,,"NEON.DOC.014045vL","0009-0001-9131-5010",
"affdc6d1-ccf8-4002-b78f-de5cc010c6c5","UNDE_002.tickPlot.tck","D05","UNDE","UNDE_002","distributed","woodyWetlands",46.242285,-89.543255,"WGS84",20.3,506.2,0.4,"OK","OK - no known exceptions","2024-05-23T18:30Z","UNDE.2024.21",,,"drag and flag",147,"N",,,,,"NEON.DOC.014045vL","0009-0002-7875-020X",
"977aac2f-45b0-405b-9e8c-ce7abecf326f","UNDE_019.tickPlot.tck","D05","UNDE","UNDE_019","distributed","deciduousForest",46.257429,-89.542053,"WGS84",20.1,517.8,0.2,"OK","OK - no known exceptions","2024-05-23T19:28Z","UNDE.2024.21",,,"drag and flag",145,"N",,,,,"NEON.DOC.014045vL","0009-0001-9131-5010",
