uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"f4075dcf-2626-4f4a-b81b-5912f088cadc","WOOD_002.tickPlot.tck","D09","WOOD","WOOD_002","distributed","grasslandHerbaceous",47.136802,-99.234546,"WGS84",20.1,578.3,0.1,,,"2015-06-09T15:22Z","WOOD.2015.23","WOOD_002.20150609",,"drag",160,"Y",2,0,,"No known compromise","NEON.DOC.014045vF","kcox@field-ops.org",
"62ed9d41-e1fb-4642-adb9-fa0fcea8b284","WOOD_006.tickPlot.tck","D09","WOOD","WOOD_006","distributed","grasslandHerbaceous",47.141023,-99.248055,"WGS84",20.1,587.2,0.1,,,"2015-06-09T16:00Z","WOOD.2015.23","WOOD_006.20150609",,"drag and flag",155,"Y",4,0,,"No known compromise","NEON.DOC.014045vF","bdowner@field-ops.org",
"65c4cddf-7eda-488e-85ea-be3829183203","WOOD_007.tickPlot.tck","D09","WOOD","WOOD_007","distributed","grasslandHerbaceous",47.133887,-99.251357,"WGS84",20.4,593.6,0.3,,,"2015-06-09T16:06Z","WOOD.2015.23","WOOD_007.20150609",,"drag and flag",160,"Y",12,0,,"No known compromise","NEON.DOC.014045vF","kcox@field-ops.org",
"8fea4f92-3ee4-46f7-9d2e-8182ee12fbf0","WOOD_001.tickPlot.tck","D09","WOOD","WOOD_001","distributed","grasslandHerbaceous",47.127200,-99.256464,"WGS84",20.1,593.8,0.2,,,"2015-06-09T17:00Z","WOOD.2015.23","WOOD_001.20150609",,"drag",160,"Y",10,0,,"No known compromise","NEON.DOC.014045vF","kcox@field-ops.org",
"43b3c832-417f-4d94-a3a3-00130e470370","WOOD_009.tickPlot.tck","D09","WOOD","WOOD_009","distributed","grasslandHerbaceous",47.144534,-99.231072,"WGS84",20.1,573.5,0.2,,,"2015-06-09T17:30Z","WOOD.2015.23",,,"drag",160,"N",0,0,,,"NEON.DOC.014045vF","bdowner@field-ops.org",
"1eb2a86d-74e1-4e32-b55d-4abd09ed95c7","WOOD_024.tickPlot.tck","D09","WOOD","WOOD_024","distributed","emergentHerbaceousWetlands",47.150784,-99.260836,"WGS84",20.1,586.1,0.2,,,"2015-06-09T18:30Z","WOOD.2015.23",,,"flag",155,"N",0,0,,,"NEON.DOC.014045vF","bdowner@field-ops.org",
"f39544a9-5eff-4984-8b8a-37720e55b521","WOOD_024.tickPlot.tck","D09","WOOD","WOOD_024","distributed","emergentHerbaceousWetlands",47.150784,-99.260836,"WGS84",20.1,586.1,0.2,,,"2015-06-30T14:30Z","WOOD.2015.26","WOOD_024.20150630",,"flag",160,"Y",1,0,,"No known compromise","NEON.DOC.014045vF","kcox@field-ops.org",
"3b7e8d3b-5862-4c23-99af-6060257a2b12","WOOD_009.tickPlot.tck","D09","WOOD","WOOD_009","distributed","grasslandHerbaceous",47.144534,-99.231072,"WGS84",20.1,573.5,0.2,,,"2015-06-30T16:05Z","WOOD.2015.26","WOOD_009.20150630",,"drag",160,"Y",2,0,,"No known compromise","NEON.DOC.014045vF","kcox@field-ops.org",
"a7bdacd0-84e8-47ce-8b9d-46386d0012db","WOOD_006.tickPlot.tck","D09","WOOD","WOOD_006","distributed","grasslandHerbaceous",47.141023,-99.248055,"WGS84",20.1,587.2,0.1,,,"2015-06-30T17:22Z","WOOD.2015.26","WOOD_006.20150630",,"drag and flag",155,"Y",2,0,,"No known compromise","NEON.DOC.014045vF","kcox@field-ops.org","Cut off corner of wetland, standing water"
"ca2d1d9e-23bd-4f72-916a-cea5f96bfc9a","WOOD_007.tickPlot.tck","D09","WOOD","WOOD_007","distributed","grasslandHerbaceous",47.133887,-99.251357,"WGS84",20.4,593.6,0.3,,,"2015-06-30T18:16Z","WOOD.2015.26","WOOD_007.20150630",,"drag and flag",160,"Y",6,0,,"No known compromise","NEON.DOC.014045vF","kcox@field-ops.org",
"456ab2c9-036d-4927-b3c0-c8999d2101ab","WOOD_002.tickPlot.tck","D09","WOOD","WOOD_002","distributed","grasslandHerbaceous",47.136802,-99.234546,"WGS84",20.1,578.3,0.1,,,"2015-06-30T19:09Z","WOOD.2015.26","WOOD_002.20150630",,"drag",160,"Y",5,0,,"No known compromise","NEON.DOC.014045vF","kcox@field-ops.org",
"14ee99d7-c1a1-4203-93e5-3941ec945c98","WOOD_001.tickPlot.tck","D09","WOOD","WOOD_001","distributed","grasslandHerbaceous",47.127200,-99.256464,"WGS84",20.1,593.8,0.2,,,"2015-06-30T20:19Z","WOOD.2015.26","WOOD_001.20150630",,"drag",160,"Y",3,0,,"No known compromise","NEON.DOC.014045vF","kcox@field-ops.org",
