uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,samplingImpractical,biophysicalCriteria,collectDate,eventID,sampleID,sampleCode,samplingMethod,totalSampledArea,targetTaxaPresent,adultCount,nymphCount,larvaCount,sampleCondition,samplingProtocolVersion,measuredBy,remarks
"903e5347-fb7a-4beb-89a5-a331f1923bf8","WREF_007.tickPlot.tck","D16","WREF","WREF_007","distributed","evergreenForest",45.851145,-121.988562,"WGS84",20.2,583.2,0.3,"OK","OK - no known exceptions","2025-05-07T16:09Z","WREF.2025.19",,,"drag and flag",154,"N",,,,,"NEON.DOC.014045vL","0009-0003-0652-0744",
"eef6931a-b2cd-41f5-8c51-491bff746084","WREF_008.tickPlot.tck","D16","WREF","WREF_008","distributed","evergreenForest",45.822946,-121.971832,"WGS84",20.3,451.8,0.4,"OK","OK - no known exceptions","2025-05-07T16:39Z","WREF.2025.19",,,"drag and flag",158,"N",,,,,"NEON.DOC.014045vL","0009-0004-8337-3423",
"23a7933f-6736-41eb-b85c-d984a93bed15","WREF_001.tickPlot.tck","D16","WREF","WREF_001","distributed","evergreenForest",45.844857,-122.000505,"WGS84",20.1,654.4,0.1,"OK","OK - no known exceptions","2025-05-07T18:00Z","WREF.2025.19",,,"drag and flag",167,"N",,,,,"NEON.DOC.014045vL","0009-0007-9670-1141",
"8010218f-29fd-4a3f-bf08-44cab586ae82","WREF_013.tickPlot.tck","D16","WREF","WREF_013","distributed","evergreenForest",45.837147,-122.018217,"WGS84",20.2,616.1,0.2,"OK","OK - no known exceptions","2025-05-07T18:44Z","WREF.2025.19",,,"drag and flag",150,"N",,,,,"NEON.DOC.014045vL","0000-0002-7463-4474",
"ea6496cf-80be-44a0-bff4-bf76db611a00","WREF_004.tickPlot.tck","D16","WREF","WREF_004","distributed","evergreenForest",45.821500,-121.998892,"WGS84",20.1,558.6,0.1,"OK","OK - no known exceptions","2025-05-07T20:28Z","WREF.2025.19",,,"drag and flag",160,"N",,,,,"NEON.DOC.014045vL","0009-0007-0315-8478",
"e3bad233-681c-45d0-b93d-09665bfcac30","WREF_009.tickPlot.tck","D16","WREF","WREF_009","distributed","evergreenForest",45.834792,-122.001011,"WGS84",20.2,827.5,0.3,"OK","OK - no known exceptions","2025-05-07T20:53Z","WREF.2025.19",,,"drag and flag",153,"N",,,,,"NEON.DOC.014045vL","0009-0000-1383-140X",
"896e9a24-d90b-47a6-bff2-de04e2cc20fa","WREF_013.tickPlot.tck","D16","WREF","WREF_013","distributed","evergreenForest",45.837147,-122.018217,"WGS84",20.2,616.1,0.2,"OK","OK - no known exceptions","2025-05-27T16:39Z","WREF.2025.22",,,"drag and flag",148,"N",,,,,"NEON.DOC.014045vL","0009-0001-5598-7135",
"5f98c2f2-21fc-4322-ae8d-8fd1f11d39d0","WREF_008.tickPlot.tck","D16","WREF","WREF_008","distributed","evergreenForest",45.822946,-121.971832,"WGS84",20.3,451.8,0.4,"OK","OK - no known exceptions","2025-05-27T17:03Z","WREF.2025.22",,,"drag and flag",163,"N",,,,,"NEON.DOC.014045vL","0009-0002-2294-9551",
"24b0eec5-757f-42cc-9cc6-8214f3ba0ee2","WREF_007.tickPlot.tck","D16","WREF","WREF_007","distributed","evergreenForest",45.851145,-121.988562,"WGS84",20.2,583.2,0.3,"OK","OK - no known exceptions","2025-05-27T17:09Z","WREF.2025.22",,,"drag and flag",157,"N",,,,,"NEON.DOC.014045vL","0009-0005-0673-6005","Many trees"
"a1f13a08-275a-4a81-9d55-1b0f3b80cfa5","WREF_004.tickPlot.tck","D16","WREF","WREF_004","distributed","evergreenForest",45.821500,-121.998892,"WGS84",20.1,558.6,0.1,"OK","OK - no known exceptions","2025-05-27T19:09Z","WREF.2025.22",,,"drag and flag",164,"N",,,,,"NEON.DOC.014045vL","0009-0002-2294-9551",
"6e159d31-c42e-44b3-ba63-59e86f774915","WREF_009.tickPlot.tck","D16","WREF","WREF_009","distributed","evergreenForest",45.834792,-122.001011,"WGS84",20.2,827.5,0.3,"OK","OK - no known exceptions","2025-05-27T19:12Z","WREF.2025.22",,,"drag and flag",154,"N",,,,,"NEON.DOC.014045vL","0009-0001-5598-7135",
"fa54c18f-6e44-40b7-bc68-fcb525fd943c","WREF_001.tickPlot.tck","D16","WREF","WREF_001","distributed","evergreenForest",45.844857,-122.000505,"WGS84",20.1,654.4,0.1,"OK","OK - no known exceptions","2025-05-27T19:19Z","WREF.2025.22",,,"drag and flag",156,"N",,,,,"NEON.DOC.014045vL","0009-0005-0673-6005",
